age,symptom,probability,param_label,prior_min,prior_max,prior_note,reference
0,rash,1,universal,0,1,,Missing
1,rash,1,universal,0,1,,Missing
2,rash,1,universal,0,1,,Missing
3,rash,1,universal,0,1,,Missing
4,rash,1,universal,0,1,,Missing
5,rash,1,universal,0,1,,Missing
6,rash,1,universal,0,1,,Missing
7,rash,1,universal,0,1,,Missing
8,rash,1,universal,0,1,,Missing
9,rash,1,universal,0,1,,Missing
10,rash,1,universal,0,1,,Missing
11,rash,1,universal,0,1,,Missing
12,rash,1,universal,0,1,,Missing
13,rash,1,universal,0,1,,Missing
14,rash,1,universal,0,1,,Missing
15,rash,1,universal,0,1,,Missing
16,rash,1,universal,0,1,,Missing
17,rash,1,universal,0,1,,Missing
18,rash,1,universal,0,1,,Missing
19,rash,1,universal,0,1,,Missing
20,rash,1,universal,0,1,,Missing
21,rash,1,universal,0,1,,Missing
22,rash,1,universal,0,1,,Missing
23,rash,1,universal,0,1,,Missing
24,rash,1,universal,0,1,,Missing
25,rash,1,universal,0,1,,Missing
26,rash,1,universal,0,1,,Missing
27,rash,1,universal,0,1,,Missing
28,rash,1,universal,0,1,,Missing
29,rash,1,universal,0,1,,Missing
30,rash,1,universal,0,1,,Missing
0,fever,1,universal,0,1,,Missing
1,fever,1,universal,0,1,,Missing
2,fever,1,universal,0,1,,Missing
3,fever,1,universal,0,1,,Missing
4,fever,1,universal,0,1,,Missing
5,fever,1,universal,0,1,,Missing
6,fever,1,universal,0,1,,Missing
7,fever,1,universal,0,1,,Missing
8,fever,1,universal,0,1,,Missing
9,fever,1,universal,0,1,,Missing
10,fever,1,universal,0,1,,Missing
11,fever,1,universal,0,1,,Missing
12,fever,1,universal,0,1,,Missing
13,fever,1,universal,0,1,,Missing
14,fever,1,universal,0,1,,Missing
15,fever,1,universal,0,1,,Missing
16,fever,1,universal,0,1,,Missing
17,fever,1,universal,0,1,,Missing
18,fever,1,universal,0,1,,Missing
19,fever,1,universal,0,1,,Missing
20,fever,1,universal,0,1,,Missing
21,fever,1,universal,0,1,,Missing
22,fever,1,universal,0,1,,Missing
23,fever,1,universal,0,1,,Missing
24,fever,1,universal,0,1,,Missing
25,fever,1,universal,0,1,,Missing
26,fever,1,universal,0,1,,Missing
27,fever,1,universal,0,1,,Missing
28,fever,1,universal,0,1,,Missing
29,fever,1,universal,0,1,,Missing
30,fever,1,universal,0,1,,Missing
0,diarrhoea,0.115,universal,0,1,,Missing
1,diarrhoea,0.115,universal,0,1,,Missing
2,diarrhoea,0.115,universal,0,1,,Missing
3,diarrhoea,0.115,universal,0,1,,Missing
4,diarrhoea,0.115,universal,0,1,,Missing
5,diarrhoea,0.063,universal,0,1,,Missing
6,diarrhoea,0.063,universal,0,1,,Missing
7,diarrhoea,0.063,universal,0,1,,Missing
8,diarrhoea,0.063,universal,0,1,,Missing
9,diarrhoea,0.063,universal,0,1,,Missing
10,diarrhoea,0.034,universal,0,1,,Missing
11,diarrhoea,0.034,universal,0,1,,Missing
12,diarrhoea,0.034,universal,0,1,,Missing
13,diarrhoea,0.034,universal,0,1,,Missing
14,diarrhoea,0.034,universal,0,1,,Missing
15,diarrhoea,0.034,universal,0,1,,Missing
16,diarrhoea,0.034,universal,0,1,,Missing
17,diarrhoea,0.034,universal,0,1,,Missing
18,diarrhoea,0.034,universal,0,1,,Missing
19,diarrhoea,0.034,universal,0,1,,Missing
20,diarrhoea,0.084,universal,0,1,,Missing
21,diarrhoea,0.084,universal,0,1,,Missing
22,diarrhoea,0.084,universal,0,1,,Missing
