Item_Description,Item_Code,Pkg_Name,Source_Equip_Item,Alternative item names
Height Pole (Stadiometer),0,,Malawi HSSPIII Equipment Costing 2023,"'Length Boards with ruler, headpiece and foot piece', 'Hieght boards sets'"
Weighing scale,1,ANC,Malawi HSSPIII Equipment Costing 2023,"'Salter weighing scale', 'Waeighing Scale'"
Autoclave,2,,Malawi HSSPIII Equipment Costing 2023,"'High pressure cooker sterilizer, complete with stove', 'Sterilization drums, medium', 'Sterilization drum', 'Sterilization buckets', 'Sterilization buckets (decontamination buckets)', 'Sterilization Buckets', 'Decontamination drums', 'Dressing drum medium', 'Dressing drum large', 'Dressing drum  small'"
Refrigerator,3,,Malawi HSSPIII Equipment Costing 2023,"'Vaccine refrigerator (solar)', 'Vaccine Refrigerator'"
Cold box,4,,Malawi HSSPIII Equipment Costing 2023,"'Cold Chain Box-large', 'Cold Chain Box-medium'"
Vaccine Carriers,5,,Malawi HSSPIII Equipment Costing 2023,
Blood pressure machine,6,"Minor Surgery, Major Surgery, ICU, Blood Transfusion",Malawi HSSPIII Equipment Costing 2023,
Thermometer,7,Blood Transfusion,Malawi HSSPIII Equipment Costing 2023,"'Thermometers, digital'"
Push bike for mobility,8,,Malawi HSSPIII Equipment Costing 2023,
Desk,9,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Office desk'
Chair,10,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,'Chairs'
Bench,11,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,"'Wooden benches', 'Bench, wood', 'Working benches'"
Drug box,12,"Emergency, General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Stethoscope,13,ICU,Malawi HSSPIII Equipment Costing 2023,'Stethoscopes'
Urine dip Stick,14,,Malawi HSSPIII Equipment Costing 2023,'urine dipstick'
Glucometer,15,,Malawi HSSPIII Equipment Costing 2023,
"Micro cuvettes (5,000 per haemacue) in packs of 1,000 pieces.",16,,Malawi HSSPIII Equipment Costing 2023,
Haemoglobinometer,17,,Malawi HSSPIII Equipment Costing 2023,"'Haemacue (Haemoglobinometer)', 'Hemoglobinometer'"
Caliper for assessing skinfold thickness,18,,Malawi HSSPIII Equipment Costing 2023,
Mucous Extractor for neonates,19,,Malawi HSSPIII Equipment Costing 2023,
Penlight,20,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
"Water container, 20 litres with tap, on stand with soap",21,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Water Tank', 'Water container with tap, on stand, Capacity of container 20 Litre, inclusive basin'"
Ear Syringe,22,,Malawi HSSPIII Equipment Costing 2023,
Bucket without tap 20 LITRES,23,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
MUAC tape,24,,Malawi HSSPIII Equipment Costing 2023,
Measuring Cup,25,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Timer,26,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Timer (Stopwatch)'
"Trolley, drug",27,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,'Medicine Trolley'
"Light, solar",28,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Solar Light', 'Solar lamps'"
Examination couch,29,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Examination couch (community nurses for antenatal and postnatal including family planning)', 'Examination couch with stirrups', 'Treatment Couch', 'Couch, treatment'"
Sputum Collection box,30,,Malawi HSSPIII Equipment Costing 2023,'Sputum container'
Ordinary Microscope,31,,Malawi HSSPIII Equipment Costing 2023,'Microscopy'
Basin,32,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Basin, wash, p/p, 400 mm diam.', 'Metallic Basins'"
"Cabinet, filing",33,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,"'Cabinet, filling'"
Waste Bin,34,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Dustbin', 'Dustbin with lid'"
"Bed, adult",35,In-patients,Malawi HSSPIII Equipment Costing 2023,"'Bed labour', 'Bed, postnatal', 'Beds', 'Beds, low'"
"Mattress for hospital bed, child",36,"In-patients, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,'Mattresses'
Linen,37,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
"Laryngoscope, Macintosh ",38,,Malawi HSSPIII Equipment Costing 2023,
"Clock, wall type",39,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Clock, wall type, with second hand, battery'"
"Bucket, 10L",40,Casting,Malawi HSSPIII Equipment Costing 2023,'10 L buckets'
"Lamp, Anglepoise",41,,Malawi HSSPIII Equipment Costing 2023,"'Angle poised lamp', 'Angle poise lamp'"
Motorcycle ambulance,42,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
"Tray, emergency",43,"Emergency, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,"'Emergency tray packs', 'Emergency tray'"
Incinerator,44,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,'Incenerator'
Stirring Rods,45,,Malawi HSSPIII Equipment Costing 2023,
Wheelbarrows,46,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Otto Bins,47,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
