Naive (.csv)
============

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/healthsystem/priority_policies/ResourceFile_PriorityRanking_ALLPOLICIES/Naive.csv>`

====  =====================================================================  ==========  ==================  ==================  =====================  ======================
  ..  Treatment                                                                Priority    FT\_if\_5orUnder    FT\_if\_pregnant    FT\_if\_tbdiagnosed    FT\_if\_Hivdiagnosed
====  =====================================================================  ==========  ==================  ==================  =====================  ======================
   0  FirstAttendance\_Emergency                                                      1                   0                  -1                     -1                      -1
   1  FirstAttendance\_SpuriousEmergencyCare                                          1                   0                  -1                     -1                      -1
   2  Alri\_Pneumonia\_Treatment\_Outpatient                                          2                  -1                  -1                     -1                      -1
   3  Alri\_Pneumonia\_Treatment\_Inpatient                                           2                  -1                  -1                     -1                      -1
   4  Alri\_Pneumonia\_Treatment\_Inpatient\_Followup                                 2                  -1                  -1                     -1                      -1
   5  BladderCancer\_Investigation                                                    2                  -1                  -1                     -1                      -1
   6  BladderCancer\_PalliativeCare                                                   2                  -1                  -1                     -1                      -1
   7  BladderCancer\_Treatment                                                        2                  -1                  -1                     -1                      -1
   8  BreastCancer\_Investigation                                                     2                  -1                  -1                     -1                      -1
   9  BreastCancer\_PalliativeCare                                                    2                  -1                  -1                     -1                      -1
  10  BreastCancer\_Treatment                                                         2                  -1                  -1                     -1                      -1
  11  CardioMetabolicDisorders\_Investigation                                         2                  -1                  -1                     -1                      -1
  12  CardioMetabolicDisorders\_Prevention\_CommunityTestingForHypertension           2                  -1                  -1                     -1                      -1
  13  CardioMetabolicDisorders\_Prevention\_WeightLoss                                2                  -1                  -1                     -1                      -1
  14  CardioMetabolicDisorders\_Treatment                                             2                  -1                  -1                     -1                      -1
  15  CardioMetabolicDisorders\_Treatment\_Haemodialysis                              2                  -1                  -1                     -1                      -1
  16  AntenatalCare\_FollowUp                                                         2                  -1                  -1                     -1                      -1
  17  AntenatalCare\_Inpatient                                                        2                  -1                  -1                     -1                      -1
  18  AntenatalCare\_Outpatient                                                       2                  -1                  -1                     -1                      -1
  19  AntenatalCare\_PostAbortion                                                     2                  -1                  -1                     -1                      -1
  20  AntenatalCare\_PostEctopicPregnancy                                             2                  -1                  -1                     -1                      -1
  21  Contraception\_Routine                                                          2                  -1                  -1                     -1                      -1
  22  Copd\_Treatment                                                                 2                  -1                  -1                     -1                      -1
  23  Depression\_TalkingTherapy                                                      2                  -1                  -1                     -1                      -1
  24  Depression\_Treatment                                                           2                  -1                  -1                     -1                      -1
  25  Diarrhoea\_Treatment\_Inpatient                                                 2                  -1                  -1                     -1                      -1
  26  Diarrhoea\_Treatment\_Outpatient                                                2                  -1                  -1                     -1                      -1
  27  Epi\_Adolescent\_Hpv                                                            2                  -1                  -1                     -1                      -1
