parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
init_epil_seiz_status,"[0.9740, 0.0175, 0.0070, 0.0015]",local,"[0.5, 0.001, 0.001, 0.0001]","[1, 0.05, 0.05, 0.01]",vague prior,
init_prop_antiepileptic_seiz_stat_1,0.15,local,0,1,vague prior,
init_prop_antiepileptic_seiz_stat_2,0.15,local,0,1,vague prior,
init_prop_antiepileptic_seiz_stat_3,0.2,local,0,1,vague prior,
base_3m_prob_epilepsy,0.000178,local,0,0.01,vague prior,
rr_epilepsy_above_threshold_age,0.3,universal,0.01,100,relative risk,Missing
prop_inc_epilepsy_seiz_freq,0.1,local,0,1,vague prior,
rr_effectiveness_antiepileptics,3,universal,0.01,100,vague prior,
base_prob_3m_seiz_stat_freq_infreq,0.05,local,0,1,vague prior,
base_prob_3m_seiz_stat_infreq_freq,0.05,local,0,1,vague prior,
base_prob_3m_seiz_stat_none_freq,0.05,local,0,1,vague prior,
base_prob_3m_seiz_stat_none_infreq,0.05,local,0,1,vague prior,
base_prob_3m_seiz_stat_infreq_none,0.05,local,0,1,vague prior,
base_prob_3m_stop_antiepileptic,0.1,local,0,1,vague prior,
rr_stop_antiepileptic_seiz_infreq_or_freq,0.5,local,0.01,100,vague prior,
base_prob_3m_epi_death,0.000568,local,0,0.1,vague prior,
prob_start_anti_epilep_when_seizures_detected_in_generic_first_appt,0.4,undetermined,0,1,calibration,
max_num_of_failed_attempts_before_defaulting,2,undetermined,1,10,design decision,
main_polling_event_frequency_months,3,undetermined,1,12,design decision,
main_polling_event_initial_delay_months,0,undetermined,0,6,design decision,
age_threshold_epilepsy_transition,20,local,5,30,vague prior,
incidence_calculation_annualization_factor,4,undetermined,1,12,design decision,
incidence_calculation_per_population_factor,100000,undetermined,1000,1000000,design decision,
death_calculation_per_population_factor,1000,undetermined,100,10000,design decision,
pediatric_age_threshold,18,local,5,25,vague prior,
medicine_follow_up_frequency_months,3,local,1,24,vague prior,
unavailable_medicine_retry_months,1,local,1,12,vague prior,
unavailable_appt_retry_months,1,local,1,12,module design decision,
severe_follow_up_frequency_months,3,local,1,24,vague prior,
standard_follow_up_frequency_months,12,local,1,24,vague prior,
