Appt_Type_Code,Facility_Level,Officer_Category,Time_Taken_Mins
ANCSubsequent,2,Clinical,2.0
ANCSubsequent,2,Nursing_and_Midwifery,18.0
ANCSubsequent,2,Pharmacy,1.0
ANCSubsequent,3,Clinical,3.0
ANCSubsequent,3,Nursing_and_Midwifery,15.0
ANCSubsequent,3,Pharmacy,5.0
ANCSubsequent,1a,Clinical,1.0
ANCSubsequent,1a,Nursing_and_Midwifery,11.0
ANCSubsequent,1a,Pharmacy,0.4
ANCSubsequent,1b,Clinical,2.0
ANCSubsequent,1b,Nursing_and_Midwifery,17.0
ANCSubsequent,1b,Pharmacy,1.0
AccidentsandEmerg,2,Clinical,42.0
AccidentsandEmerg,2,Nursing_and_Midwifery,58.5
AccidentsandEmerg,2,Pharmacy,3.0
AccidentsandEmerg,3,Clinical,36.0
AccidentsandEmerg,3,Nursing_and_Midwifery,25.0
AccidentsandEmerg,3,Pharmacy,4.1
AccidentsandEmerg,1a,Clinical,33.5
AccidentsandEmerg,1a,Nursing_and_Midwifery,30.5
AccidentsandEmerg,1a,Pharmacy,5.0
AccidentsandEmerg,1b,Clinical,54.0
AccidentsandEmerg,1b,Nursing_and_Midwifery,48.0
AccidentsandEmerg,1b,Pharmacy,3.0
AntenatalFirst,2,Nursing_and_Midwifery,19.0
AntenatalFirst,2,Pharmacy,0.5
AntenatalFirst,3,Clinical,9.0
AntenatalFirst,3,Nursing_and_Midwifery,30.0
AntenatalFirst,3,Pharmacy,5.0
AntenatalFirst,1a,Nursing_and_Midwifery,12.75
AntenatalFirst,1a,Pharmacy,0.25
AntenatalFirst,1b,Nursing_and_Midwifery,19.0
AntenatalFirst,1b,Pharmacy,0.5
CompDelivery,2,Clinical,120.0
CompDelivery,2,Nursing_and_Midwifery,66.0
CompDelivery,2,Pharmacy,2.5
CompDelivery,3,Clinical,30.0
CompDelivery,3,Nursing_and_Midwifery,30.0
CompDelivery,3,Pharmacy,4.1
CompDelivery,1a,Clinical,16.0
CompDelivery,1a,Nursing_and_Midwifery,37.0
CompDelivery,1a,Pharmacy,2.5
CompDelivery,1b,Clinical,30.0
CompDelivery,1b,Nursing_and_Midwifery,72.0
CompDelivery,1b,Pharmacy,2.5
ConWithDCSA,0,DCSA,10.0
Csection,2,Clinical,60.0
Csection,2,Nursing_and_Midwifery,81.0
Csection,2,Pharmacy,10.0
Csection,3,Clinical,45.0
Csection,3,Nursing_and_Midwifery,50.0
Csection,3,Pharmacy,10.0
Csection,1a,Clinical,27.0
Csection,1a,Nursing_and_Midwifery,36.0
Csection,1a,Pharmacy,5.0
Csection,1b,Clinical,60.0
Csection,1b,Nursing_and_Midwifery,81.0
Csection,1b,Pharmacy,10.0
DentAccidEmerg,2,Dental,65.0
DentAccidEmerg,3,Dental,105.0
DentAccidEmerg,1a,Dental,47.5
DentAccidEmerg,1b,Dental,30.0
DentSurg,2,Dental,100.0
DentSurg,3,Dental,190.0
DentalO5,2,Dental,30.0
DentalO5,3,Dental,75.0
DentalO5,1a,Dental,37.0
DentalO5,1b,Dental,39.0
DentalU5,2,Dental,25.0
DentalU5,3,Dental,80.0
DentalU5,1a,Dental,48.5
DentalU5,1b,Dental,52.0
DiagRadio,2,Radiography,18.0
DiagRadio,3,Radiography,45.0
DiagRadio,1b,Radiography,18.0
EPI,2,Clinical,0.12
EPI,2,Nursing_and_Midwifery,2.5
EPI,2,Pharmacy,1.6800000000000002
EPI,1a,Clinical,0.06
EPI,1a,Nursing_and_Midwifery,4.0
EPI,1a,Pharmacy,1.6800000000000002
EPI,1b,Clinical,0.12
EPI,1b,Nursing_and_Midwifery,2.5
EPI,1b,Pharmacy,1.6800000000000002
EstMedCom,2,Clinical,111.0
EstMedCom,2,Nursing_and_Midwifery,24.0
EstMedCom,2,Pharmacy,2.0
EstMedCom,3,Clinical,19.5
EstMedCom,3,Nursing_and_Midwifery,16.5
EstMedCom,3,Pharmacy,5.0
EstMedCom,1a,Clinical,52.0
EstMedCom,1a,Nursing_and_Midwifery,15.0
EstMedCom,1b,Clinical,99.0
EstMedCom,1b,Nursing_and_Midwifery,24.0
