age,hiv,prob_pulm
0,False,0.7
1,False,0.74
2,False,0.91
3,False,0.91
4,False,0.91
5,False,0.89
6,False,0.89
7,False,0.89
8,False,0.89
9,False,0.89
10,False,0.99
11,False,0.99
12,False,0.99
13,False,0.99
14,False,0.99
15,False,0.8
16,False,0.8
17,False,0.8
18,False,0.8
19,False,0.8
20,False,0.8
21,False,0.8
22,False,0.8
23,False,0.8
24,False,0.8
25,False,0.8
26,False,0.8
27,False,0.8
28,False,0.8
29,False,0.8
30,False,0.8
31,False,0.8
32,False,0.8
33,False,0.8
34,False,0.8
35,False,0.8
36,False,0.8
37,False,0.8
38,False,0.8
39,False,0.8
40,False,0.8
41,False,0.8
42,False,0.8
43,False,0.8
44,False,0.8
45,False,0.8
46,False,0.8
47,False,0.8
48,False,0.8
49,False,0.8
50,False,0.8
51,False,0.8
52,False,0.8
53,False,0.8
54,False,0.8
55,False,0.8
56,False,0.8
57,False,0.8
58,False,0.8
59,False,0.8
60,False,0.8
61,False,0.8
62,False,0.8
63,False,0.8
64,False,0.8
65,False,0.8
66,False,0.8
67,False,0.8
68,False,0.8
69,False,0.8
70,False,0.8
71,False,0.8
72,False,0.8
73,False,0.8
74,False,0.8
75,False,0.8
76,False,0.8
77,False,0.8
78,False,0.8
79,False,0.8
80,False,0.8
81,False,0.8
82,False,0.8
83,False,0.8
84,False,0.8
85,False,0.8
86,False,0.8
87,False,0.8
88,False,0.8
89,False,0.8
90,False,0.8
91,False,0.8
92,False,0.8
93,False,0.8
94,False,0.8
95,False,0.8
96,False,0.8
97,False,0.8
98,False,0.8
99,False,0.8
100,False,0.8
0,True,0.5
1,True,0.5
2,True,0.5
3,True,0.5
4,True,0.5
5,True,0.5
6,True,0.5
7,True,0.5
8,True,0.5
9,True,0.5
10,True,0.5
11,True,0.5
12,True,0.5
13,True,0.5
14,True,0.5
15,True,0.5
16,True,0.5
17,True,0.5
18,True,0.5
19,True,0.5
20,True,0.5
21,True,0.5
22,True,0.5
23,True,0.5
24,True,0.5
25,True,0.5
26,True,0.5
27,True,0.5
28,True,0.5
29,True,0.5
30,True,0.5
31,True,0.5
32,True,0.5
33,True,0.5
34,True,0.5
35,True,0.5
36,True,0.5
37,True,0.5
38,True,0.5
39,True,0.5
40,True,0.5
41,True,0.5
42,True,0.5
43,True,0.5
44,True,0.5
45,True,0.5
46,True,0.5
47,True,0.5
48,True,0.5
49,True,0.5
50,True,0.5
51,True,0.5
52,True,0.5
53,True,0.5
54,True,0.5
55,True,0.5
56,True,0.5
57,True,0.5
58,True,0.5
59,True,0.5
60,True,0.5
61,True,0.5
62,True,0.5
63,True,0.5
64,True,0.5
65,True,0.5
66,True,0.5
67,True,0.5
68,True,0.5
69,True,0.5
70,True,0.5
71,True,0.5
72,True,0.5
73,True,0.5
74,True,0.5
75,True,0.5
76,True,0.5
77,True,0.5
78,True,0.5
79,True,0.5
80,True,0.5
81,True,0.5
82,True,0.5
83,True,0.5
84,True,0.5
85,True,0.5
86,True,0.5
87,True,0.5
88,True,0.5
89,True,0.5
90,True,0.5
91,True,0.5
92,True,0.5
93,True,0.5
94,True,0.5
95,True,0.5
96,True,0.5
97,True,0.5
98,True,0.5
99,True,0.5
100,True,0.5
