parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,
scaling_factor_WHO,1.60303,local,0.5,5,vague prior,,
prop_mdr2010,0.0186,local,0.001,0.1,vague prior,,
monthly_prob_relapse_tx_complete,0.0027,local,0.001,0.1,vague prior,,
monthly_prob_relapse_tx_incomplete,0.0116,local,0.001,0.1,vague prior,,
monthly_prob_relapse_2yrs,0.0001,local,0.001,0.1,vague prior,,
rr_relapse_hiv,4.7,universal,2.5,8.9,95% CI,,
rr_relapse_diabetes,1.86,universal,0.01,100,vague prior,Huangfu et al 2019,
duration_active_disease_years,3,universal,1,10,vague prior,,
prop_smear_positive,0.62,local,0.1,1,vague prior,,
prop_smear_positive_hiv,0.35,local,0.1,1,vague prior,,
death_rate_child0_4_treated,0.05,universal,0,1,vague prior,,
death_rate_child5_14_treated,0.06,universal,0,1,vague prior,,
death_rate_adult_treated,0.107,undetermined,0,1,calibration,changed from 0.086,
death_rate_smear_pos_untreated,0.7,universal,0,1,vague prior,,
death_rate_smear_neg_untreated,0.2,universal,0,1,vague prior,,
rr_death_diabetes,1.51,universal,0.01,100,vague prior,Huangfu et al 2019,
rr_tb_child,0.1,universal,0.01,100,vague prior,assumed,
rr_tb_bcg,0.42,universal,0.01,100,vague prior,,
rr_tb_hiv,5,universal,0.01,100,vague prior,20.6getahun2010,assumed
rr_tb_aids,26,universal,0.01,100,vague prior,26williams_pnas,assumed
rr_tb_art_adult,0.35,universal,0.28,0.44,CI,,
rr_tb_art_child,0.3,universal,0.21,0.39,CI,,
rr_tb_obese,0.4,universal,0.01,100,vague prior,,
rr_tb_diabetes,3,universal,0.01,100,vague prior,,
rr_tb_alcohol,2.9,universal,0.01,100,vague prior,,
rr_tb_smoking,1.3,universal,0.01,100,vague prior,,
rr_ipt_adult,0.4,universal,0.01,100,vague prior,,
rr_ipt_child,0.55,universal,0.4,0.75,CI,,
rr_ipt_adult_hiv,0.68,universal,0.54,0.85,CI,,
rr_ipt_child_hiv,0.31,universal,0.11,0.87,CI,,
rr_ipt_art_child,0.76,universal,0.01,100,vague prior,,
rr_ipt_art_adult,0.63,universal,0.01,100,vague prior,,
