parameter values (.csv)
=======================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_Diarrhoea/parameter_values.csv>`

====  ===============================================================  =========================================  ==============  ============  ============  =============  =========================================================================================
  ..  parameter\_name                                                  value                                      param\_label    prior\_min    prior\_max    prior\_note    reference
====  ===============================================================  =========================================  ==============  ============  ============  =============  =========================================================================================
   0  base\_inc\_rate\_diarrhoea\_by\_rotavirus                        [0.175245863,0.097007598,0.009324]         local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
   1  base\_inc\_rate\_diarrhoea\_by\_shigella                         [0.117936461999999,0.078794104,0.093018]   local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
   2  base\_inc\_rate\_diarrhoea\_by\_adenovirus                       [0.0586618,0.058661803,0.006438]           local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
   3  base\_inc\_rate\_diarrhoea\_by\_cryptosporidium                  [0.030886699,0.0117923629999999,0.004662]  local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
   4  base\_inc\_rate\_diarrhoea\_by\_campylobacter                    [0.098663257,0.027915478,0.004884]         local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
   5  base\_inc\_rate\_diarrhoea\_by\_ETEC                             [0.27925146,0.170477152,0.019758]          local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
   6  base\_inc\_rate\_diarrhoea\_by\_sapovirus                        [0.100972179,0.132603114,0.00555]          local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
   7  base\_inc\_rate\_diarrhoea\_by\_norovirus                        [0.204864004,0.066146727,0.000888]         local           [0,0,0]       [1,1,1]       vague prior    Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019
