ADMIN1,District,Year,Endemicity,MDA_scheme,PopReq_SAC,PopTrg_SAC,PopTreat_SAC,Cov_SAC,EpiCov_SAC,PopReq_Adults,PopTrg_Adults,PopTreat_Adults,Cov_Adults,EpiCov_Adults,PopReq_Total,PopTrg_Total,PopTreat_Total,Cov_Total,EpiCov_Total,Cov_PSAC,EpiCov_PSAC,param_label
Central,Dedza,2022,High prevalence (50% and above),Not delivered,257879,0,0,0,0,525392,0,0,0,0,783271,0,0,0,0,0,0,calibration data
Central,Dowa,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,120644,26560,22950,0.8641,0.1902,98319,131,132,1.0076,0.0013,218963,26691,23082,0.8648,0.1054,0,0,calibration data
Central,Kasungu,2022,High prevalence (50% and above),PZQ+ALB/MBD,262251,7298,6532,0.895,0.0249,534301,0,0,0,0,796552,7298,6532,0.895,0.0082,0,0,calibration data
Central,Lilongwe,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,411811,288535,261042,0.9047,0.6339,335603,15180,11777,0.7758,0.0351,747414,303715,272819,0.8983,0.365,0,0,calibration data
Central,Mchinji,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,93328,44047,37806,0.8583,0.4051,76057,52,52,1,0.0007,169384,44099,37858,0.8585,0.2235,0,0,calibration data
Central,Nkhotakota,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,61344,22674,20761,0.9156,0.3384,49992,38565,34512,0.8949,0.6903,111337,61239,55273,0.9026,0.4964,0,0,calibration data
Central,Ntcheu,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,103404,49497,41302,0.8344,0.3994,84269,65,120,1.8462,0.0014,187674,49562,41422,0.8358,0.2207,0,0,calibration data
Central,Ntchisi,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,49898,59089,52438,0.8874,1.0509,40665,0,0,0,0,90563,59089,52438,0.8874,0.579,0,0,calibration data
Central,Salima,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,75134,61808,55195,0.893,0.7346,61230,95287,88330,0.927,1.4426,136364,157095,143525,0.9136,1.0525,0,0,calibration data
Likoma,Likoma,2022,High prevalence (50% and above),PZQ+ALB/MBD,4528,3955,3596,0.9092,0.7942,9226,47,43,0.9149,0.0047,13754,4002,3639,0.9093,0.2646,0,0,calibration data
Northern,Chitipa,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,36473,40674,38292,0.9414,1.0499,29724,0,0,0,0,66197,40674,38292,0.9414,0.5785,0,0,calibration data
Northern,Karonga,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,57114,40477,35242,0.8707,0.6171,46544,997,786,0.7884,0.0169,103658,41474,36028,0.8687,0.3476,0,0,calibration data
Northern,Nkhata Bay,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,44370,37729,31559,0.8365,0.7113,36159,0,0,0,0,80530,37729,31559,0.8365,0.3919,0,0,calibration data
Northern,Rumphi,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,35786,10841,9984,0.9209,0.279,29163,0,0,0,0,64949,10841,9984,0.9209,0.1537,0,0,calibration data
Southern,Balaka,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,68590,13358,11833,0.8858,0.1725,55897,0,0,0,0,124488,13358,11833,0.8858,0.0951,0,0,calibration data
Southern,Blantyre,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,192788,222835,216453,0.9714,1.1228,157111,0,0,0,0,349898,222835,216453,0.9714,0.6186,0,0,calibration data
Southern,Chikwawa,2022,High prevalence (50% and above),Not delivered,174316,0,0,0,0,355144,0,0,0,0,529460,0,0,0,0,0,0,calibration data
Southern,Chiradzulu,2022,Moderate prevalence (10%-49%),Not delivered,54654,0,0,0,0,44540,0,0,0,0,99194,0,0,0,0,0,0,calibration data
Southern,Machinga,2022,High prevalence (50% and above),Not delivered,233271,0,0,0,0,475257,0,0,0,0,708528,0,0,0,0,0,0,calibration data
Southern,Mangochi,2022,High prevalence (50% and above),PZQ+ALB/MBD,362223,37310,35139,0.9418,0.097,737979,54389,50480,0.9281,0.0684,1100202,91699,85619,0.9337,0.0778,0,0,calibration data
Southern,Mulanje,2022,High prevalence (50% and above),Not delivered,211594,0,0,0,0,431093,0,0,0,0,642687,0,0,0,0,0,0,calibration data
Southern,Mwanza,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,21336,41725,38215,0.9159,1.7911,17387,0,0,0,0,38723,41725,38215,0.9159,0.9869,0,0,calibration data
Southern,Neno,2022,Moderate prevalence (10%-49%),Not delivered,20230,0,0,0,0,16486,0,0,0,0,36715,0,0,0,0,0,0,calibration data
Southern,Nsanje,2022,High prevalence (50% and above),PZQ+ALB/MBD,91633,14090,12213,0.8668,0.1333,186689,19134,16744,0.8751,0.0897,278322,33224,28957,0.8716,0.104,0,0,calibration data
Southern,Phalombe,2022,High prevalence (50% and above),PZQ+ALB/MBD,133866,80617,68789,0.8533,0.5139,272734,0,0,0,0,406600,80617,68789,0.8533,0.1692,0,0,calibration data
Southern,Thyolo,2022,Moderate prevalence (10%-49%),Not delivered,110272,0,0,0,0,89865,0,0,0,0,200137,0,0,0,0,0,0,calibration data
Southern,Zomba,2022,High prevalence (50% and above),Not delivered,262928,0,0,0,0,535679,0,0,0,0,798607,0,0,0,0,0,0,calibration data
Northern,Mzimba,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,180903,124978,120646,0.948,1.38855,147426,126,153,0.60715,0.00065,328330,125104,120799,0.94865,0.76535,0,0,calibration data
Central,Lilongwe City,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,411811,288535,261042,0.9047,0.6339,335603,15180,11777,0.7758,0.0351,747414,303715,272819,0.8983,0.365,0,0,calibration data
Southern,Blantyre City,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,192788,222835,216453,0.9714,1.1228,157111,0,0,0,0,349898,222835,216453,0.9714,0.6186,0,0,calibration data
Northern,Mzuzu City,2022,Moderate prevalence (10%-49%),PZQ+ALB/MBD,180903,124978,120646,0.948,1.38855,147426,126,153,0.60715,0.00065,328330,125104,120799,0.94865,0.76535,0,0,calibration data
Southern,Zomba City,2022,High prevalence (50% and above),Not delivered,262928,0,0,0,0,535679,0,0,0,0,798607,0,0,0,0,0,0,calibration data
Central,Dedza,2021,High prevalence (50% and above),PZQ,264899,152257,130627,0.8579,0.4931,504570,180416,161231,0.8937,0.3195,769469,332673,291858,0.8773,0.3793,0,0,calibration data
Central,Dowa,2021,Moderate prevalence (10%-49%),Not delivered,123929,0,0,0,0,94422,0,0,0,0,218351,0,0,0,0,0,0,calibration data
Central,Kasungu,2021,High prevalence (50% and above),Not delivered,269391,0,0,0,0,513126,0,0,0,0,782517,0,0,0,0,0,0,calibration data
Central,Lilongwe,2021,Moderate prevalence (10%-49%),Not delivered,423022,0,0,0,0,322302,0,0,0,0,745324,0,0,0,0,0,0,calibration data
Central,Mchinji,2021,Moderate prevalence (10%-49%),Not delivered,95868,0,0,0,0,73043,0,0,0,0,168911,0,0,0,0,0,0,calibration data
Central,Nkhotakota,2021,Moderate prevalence (10%-49%),PZQ,63014,86337,76967,0.8915,1.2214,48011,112918,87978,0.7791,1.8324,111026,199255,164945,0.8278,1.4856,0,0,calibration data
Central,Ntcheu,2021,Moderate prevalence (10%-49%),Not delivered,106220,0,0,0,0,80929,0,0,0,0,187149,0,0,0,0,0,0,calibration data
Central,Ntchisi,2021,Moderate prevalence (10%-49%),Not delivered,51257,0,0,0,0,39053,0,0,0,0,90310,0,0,0,0,0,0,calibration data
Central,Salima,2021,Moderate prevalence (10%-49%),PZQ,77180,112703,99918,0.8866,1.2946,58803,172461,153702,0.8912,2.6138,135983,285164,253620,0.8894,1.8651,0,0,calibration data
Likoma,Likoma,2021,High prevalence (50% and above),Not delivered,4652,0,0,0,0,8860,0,0,0,0,13512,0,0,0,0,0,0,calibration data
Northern,Chitipa,2021,Moderate prevalence (10%-49%),Not delivered,37466,0,0,0,0,28546,0,0,0,0,66012,0,0,0,0,0,0,calibration data
Northern,Karonga,2021,Moderate prevalence (10%-49%),Not delivered,58668,0,0,0,0,44700,0,0,0,0,103368,0,0,0,0,0,0,calibration data
Northern,Nkhata Bay,2021,Moderate prevalence (10%-49%),Not delivered,45578,0,0,0,0,34726,0,0,0,0,80305,0,0,0,0,0,0,calibration data
Northern,Rumphi,2021,Moderate prevalence (10%-49%),Not delivered,36760,0,0,0,0,28008,0,0,0,0,64768,0,0,0,0,0,0,calibration data
Southern,Balaka,2021,Moderate prevalence (10%-49%),Not delivered,70458,0,0,0,0,53682,0,0,0,0,124140,0,0,0,0,0,0,calibration data
Southern,Blantyre,2021,Moderate prevalence (10%-49%),Not delivered,198036,0,0,0,0,150884,0,0,0,0,348920,0,0,0,0,0,0,calibration data
Southern,Chikwawa,2021,High prevalence (50% and above),PZQ,179061,133660,97763,0.7314,0.546,341069,214374,141233,0.6588,0.4141,520130,348034,238996,0.6867,0.4595,0,0,calibration data
Southern,Chiradzulu,2021,Moderate prevalence (10%-49%),PZQ,56142,108540,149682,1.379,2.6661,42775,170419,149958,0.8799,3.5058,98917,278959,299640,1.0741,3.0292,0,0,calibration data
Southern,Machinga,2021,High prevalence (50% and above),PZQ,239621,152786,142211,0.9308,0.5935,456422,230827,219482,0.9509,0.4809,696043,383613,361693,0.9429,0.5196,0,0,calibration data
Southern,Mangochi,2021,High prevalence (50% and above),PZQ,372084,196146,157564,0.8033,0.4235,708732,54774,36348,0.6636,0.0513,1080816,250920,193912,0.7728,0.1794,0,0,calibration data
Southern,Mulanje,2021,High prevalence (50% and above),PZQ,217354,253160,187994,0.7426,0.8649,414007,203318,138609,0.6817,0.3348,631361,456478,326603,0.7155,0.5173,0,0,calibration data
Southern,Mwanza,2021,Moderate prevalence (10%-49%),Not delivered,21128,0,0,0,0,16098,0,0,0,0,37226,0,0,0,0,0,0,calibration data
Southern,Neno,2021,Moderate prevalence (10%-49%),Not delivered,21884,0,0,0,0,16673,0,0,0,0,38556,0,0,0,0,0,0,calibration data
Southern,Nsanje,2021,High prevalence (50% and above),PZQ,94127,77882,70176,0.9011,0.7455,179290,118141,107895,0.9133,0.6018,273417,196023,178071,0.9084,0.6513,0,0,calibration data
Southern,Phalombe,2021,High prevalence (50% and above),Not delivered,137511,0,0,0,0,261925,0,0,0,0,399436,0,0,0,0,0,0,calibration data
Southern,Thyolo,2021,Moderate prevalence (10%-49%),PZQ,113274,202188,170816,0.8448,1.508,86304,823,718,0.8724,0.0083,199577,203011,171534,0.8449,0.8595,0,0,calibration data
Southern,Zomba,2021,High prevalence (50% and above),PZQ,270086,199982,147885,0.7395,0.5475,514449,230679,151801,0.6581,0.2951,784535,430661,299686,0.6959,0.382,0,0,calibration data
