parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,
intercept_parity_lr2010,"[-2.81, -2.81]",local,"[-10, -10]","[10, 10]",vague prior,,
effect_age_parity_lr2010,"[0.21, 0.21]",local,"[0, 0]","[1, 1]",vague prior,,
effect_mar_stat_2_parity_lr2010,"[0.84, 0.84]",local,"[0, 0]","[5, 5]",vague prior,,
effect_mar_stat_3_parity_lr2010,"[0.14, 0.14]",local,"[0, 0]","[5, 5]",vague prior,,
effect_wealth_lev_4_parity_lr2010,"[-0.09, -0.09]",local,"[-2, -2]","[2, 2]",vague prior,,
effect_wealth_lev_3_parity_lr2010,"[-0.18, -0.18]",local,"[-2, -2]","[2, 2]",vague prior,,
effect_wealth_lev_2_parity_lr2010,"[-0.22, -0.22]",local,"[-2, -2]","[2, 2]",vague prior,,
effect_wealth_lev_1_parity_lr2010,"[-0.48, -0.48]",local,"[-2, -2]","[2, 2]",vague prior,,
effect_edu_lev_2_parity_lr2010,"[-0.33, -0.33]",local,"[-2, -2]","[2, 2]",vague prior,,
effect_edu_lev_3_parity_lr2010,"[-1, -1]",local,"[-2, -2]","[2, 2]",vague prior,,"n.b. this is result for secondary vs none, teritiarty is separate in dhs but combined in tlo"
effect_rural_parity_lr2010,"[0.19, 0.19]",local,"[-2, -2]","[2, 2]",vague prior,,
prob_previous_caesarean_at_baseline,"[0.046, 0.046]",local,"[0, 0]","[1, 1]",vague prior,,
,,,,,,,
risk_post_term_labour,"[0.077, 0.077]",undetermined,"[0, 0]","[1, 1]",calibration,,"Factors Associated with Preterm, Early Preterm and Late Preterm Birth in Malawi"
rr_potl_bmi_30_35,"[1.42, 1.42]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_potl_bmi_35+,"[1.55, 1.55]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
,,,,,,,
list_limits_for_defining_term_status,"[[259, 293, 148, 230, 231, 258, 294], [259, 293, 148, 230, 231, 258, 294]]",universal,N/A,N/A,definition,,
,,,,,,,
mean_birth_weights,"[[657, 746, 851, 966, 1096, 1240, 1440, 1641, 1841, 2041, 2242, 2442, 2736, 2856, 2995, 3036, 3117, 3136], [657, 746, 851, 966, 1096, 1240, 1440, 1641, 1841, 2041, 2242, 2442, 2736, 2856, 2995, 3036, 3117, 3136]]",local,"[[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]","[[4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000], [4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]]",vague prior,,
standard_deviation_birth_weights,"[[113, 140, 169, 196, 218, 235, 274, 312 ,351, 390, 428, 460, 467, 398, 356, 351, 396, 351], [113, 140, 169, 196, 218, 235, 274, 312 ,351, 390, 428, 460, 467, 398, 356, 351, 396, 351]]",local,"[[100, 100, 100, 100, 100, 100, 100, 100 ,100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100, 100 ,100, 100, 100, 100, 100, 100, 100, 100, 100, 100]]","[[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]",vague prior,,
residual_prob_of_macrosomia,"[0.057, 0.057]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_obstruction_cpd,"[0.012, 0.022]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_obstruction_cpd_stunted_mother,"[2.4, 2.4]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_obstruction_foetal_macrosomia,"[3.3, 3.3]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
prob_obstruction_malpos_malpres,"[0.005, 0.009]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_obstruction_other,"[0.0015, 0.0027]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_placental_abruption_during_labour,"[0.0005, 0.0005]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_placental_abruption_hypertension,"[2.2, 2.2]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_placental_abruption_previous_cs,"[1.3, 1.3]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
prob_aph_placenta_praevia_labour,"[0.25, 0.25]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_aph_placental_abruption_labour,"[0.9, 0.9]",undetermined,"[0, 0]","[1, 1]",calibration,,
severity_maternal_haemorrhage," [[0.8, 0.2], [0.8, 0.2]]",local,"[[0, 0], [0, 0]]","[[1, 1], [1, 1]]",vague prior,,
cfr_aph,"[0.11, 0.04]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_sepsis_chorioamnionitis,"[0.0002, 0.00018]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_sepsis_chorio_prom,"[1.76, 1.76]",local,"[0.01, 0.01]","[100, 100]",vague prior,https://bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-018-1891-1,https://bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-018-1891-1
prob_sepsis_endometritis,"[0.000069, 0.000062]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_sepsis_endometritis_post_cs,"[12.1, 12.1]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
prob_sepsis_urinary_tract,"[0.000054, 0.000054]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_sepsis_skin_soft_tissue,"[0.000039, 0.000035]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_sepsis_sst_post_cs,"[3.9, 3.9]",local,"[0.01, 0.01]","[100, 100]",vague prior,https://bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-018-1891-1,
cfr_sepsis,"[0.75, 0.49]",undetermined,"[0, 0]","[1, 1]",calibration,,
cfr_pp_sepsis,"[0.75, 0.49]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_uterine_rupture,"[0.0011, 0.0005]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_ur_parity_2,"[2.74, 2.74]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_ur_parity_3_or_4,"[4.89, 4.89]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_ur_parity_5+,"[7.57, 7.57]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_ur_prev_cs,"[2.02, 2.02]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_ur_obstructed_labour,"[23.6, 23.6]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
cfr_uterine_rupture,"[0.65, 0.5]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_progression_gest_htn,"[0.036, 0.036]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_progression_severe_gest_htn,"[0.13, 0.13]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_progression_mild_pre_eclamp,"[0.14, 0.14]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_progression_severe_pre_eclamp,"[0.29, 0.29]",undetermined,"[0, 0]","[1, 1]",calibration,,
cfr_severe_pre_eclamp,"[0.018, 0.018]",undetermined,"[0, 0]","[1, 1]",calibration,,
cfr_eclampsia,"[0.028, 0.03]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_ip_still_birth,"[0.006, 0.005]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_still_birth_maternal_death,"[180, 180]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_still_birth_ur,"[56.6, 56.6]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_still_birth_ol,"[4.5, 4.5]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_still_birth_aph,"[2.1, 2.1]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_still_birth_hypertension,"[4.5, 4.5]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_still_birth_sepsis,"[2, 2]",local,"[0.01, 0.01]","[100, 100]",vague prior,https://www.tandfonline.com/doi/full/10.1080/14767058.2020.1852206,https://www.tandfonline.com/doi/full/10.1080/14767058.2020.1852206
rr_still_birth_multiple_pregnancy,"[3, 3]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
prob_both_twins_ip_still_birth,"[0.8, 0.8]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_pph_uterine_atony,"[0.006, 0.011]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_pph_ua_hypertension,"[1.84, 1.84]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_pph_ua_multiple_pregnancy,"[2.16, 2.16]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_pph_ua_macrosomia,"[1.46, 1.46]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rr_pph_ua_placental_abruption,"[2.74, 2.74]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
