MDA historical Coverage (.csv)
==============================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_Improved_Healthsystem_And_Healthcare_Seeking/MDA_historical_Coverage.csv>`

====  ==================  ======  ======  ========
  ..  District/Year         PSAC     SAC    Adults
====  ==================  ======  ======  ========
   0  Blantyre/2015       0.9999  0.9999    0.9999
   1  Blantyre/2016       0.9999  0.9999    0.9999
   2  Blantyre/2017       0.9999  0.9999    0.9999
   3  Blantyre/2018       0.9999  0.9999    0.9999
   4  Chiradzulu/2015     0.9999  0.9999    0.9999
   5  Chiradzulu/2016     0.9999  0.9999    0.9999
   6  Chiradzulu/2017     0.9999  0.9999    0.9999
   7  Chiradzulu/2018     0.9999  0.9999    0.9999
   8  Mulanje/2015        0.9999  0.9999    0.9999
   9  Mulanje/2016        0.9999  0.9999    0.9999
  10  Mulanje/2017        0.9999  0.9999    0.9999
  11  Mulanje/2018        0.9999  0.9999    0.9999
  12  Nkhotakota/2015     0.9999  0.9999    0.9999
  13  Nkhotakota/2016     0.9999  0.9999    0.9999
  14  Nkhotakota/2017     0.9999  0.9999    0.9999
  15  Nkhotakota/2018     0.9999  0.9999    0.9999
  16  Nsanje/2015         0.9999  0.9999    0.9999
  17  Nsanje/2016         0.9999  0.9999    0.9999
  18  Nsanje/2017         0.9999  0.9999    0.9999
  19  Nsanje/2018         0.9999  0.9999    0.9999
  20  Phalombe/2015       0.9999  0.9999    0.9999
  21  Phalombe/2016       0.9999  0.9999    0.9999
  22  Phalombe/2017       0.9999  0.9999    0.9999
  23  Phalombe/2018       0.9999  0.9999    0.9999
  24  Balaka/2015         0.9999  0.9999    0.9999
  25  Balaka/2016         0.9999  0.9999    0.9999
  26  Balaka/2017         0.9999  0.9999    0.9999
  27  Balaka/2018         0.9999  0.9999    0.9999
  28  Blantyre City/2015  0.9999  0.9999    0.9999
  29  Blantyre City/2016  0.9999  0.9999    0.9999
  30  Blantyre City/2017  0.9999  0.9999    0.9999
  31  Blantyre City/2018  0.9999  0.9999    0.9999
  32  Chikwawa/2015       0.9999  0.9999    0.9999
  33  Chikwawa/2016       0.9999  0.9999    0.9999
  34  Chikwawa/2017       0.9999  0.9999    0.9999
  35  Chikwawa/2018       0.9999  0.9999    0.9999
  36  Chitipa/2015        0.9999  0.9999    0.9999
  37  Chitipa/2016        0.9999  0.9999    0.9999
  38  Chitipa/2017        0.9999  0.9999    0.9999
  39  Chitipa/2018        0.9999  0.9999    0.9999
  40  Dedza/2015          0.9999  0.9999    0.9999
  41  Dedza/2016          0.9999  0.9999    0.9999
  42  Dedza/2017          0.9999  0.9999    0.9999
  43  Dedza/2018          0.9999  0.9999    0.9999
  44  Dowa/2015           0.9999  0.9999    0.9999
  45  Dowa/2016           0.9999  0.9999    0.9999
  46  Dowa/2017           0.9999  0.9999    0.9999
  47  Dowa/2018           0.9999  0.9999    0.9999
  48  Karonga/2015        0.9999  0.9999    0.9999
  49  Karonga/2016        0.9999  0.9999    0.9999
  50  Karonga/2017        0.9999  0.9999    0.9999
  51  Karonga/2018        0.9999  0.9999    0.9999
  52  Kasungu/2015        0.9999  0.9999    0.9999
  53  Kasungu/2016        0.9999  0.9999    0.9999
  54  Kasungu/2017        0.9999  0.9999    0.9999
  55  Kasungu/2018        0.9999  0.9999    0.9999
  56  Likoma/2015         0.9999  0.9999    0.9999
  57  Likoma/2016         0.9999  0.9999    0.9999
  58  Likoma/2017         0.9999  0.9999    0.9999
  59  Likoma/2018         0.9999  0.9999    0.9999
  60  Lilongwe/2015       0.9999  0.9999    0.9999
  61  Lilongwe/2016       0.9999  0.9999    0.9999
  62  Lilongwe/2017       0.9999  0.9999    0.9999
  63  Lilongwe/2018       0.9999  0.9999    0.9999
  64  Lilongwe City/2015  0.9999  0.9999    0.9999
  65  Lilongwe City/2016  0.9999  0.9999    0.9999
  66  Lilongwe City/2017  0.9999  0.9999    0.9999
  67  Lilongwe City/2018  0.9999  0.9999    0.9999
  68  Machinga/2015       0.9999  0.9999    0.9999
  69  Machinga/2016       0.9999  0.9999    0.9999
  70  Machinga/2017       0.9999  0.9999    0.9999
  71  Machinga/2018       0.9999  0.9999    0.9999
  72  Mangochi/2015       0.9999  0.9999    0.9999
  73  Mangochi/2016       0.9999  0.9999    0.9999
  74  Mangochi/2017       0.9999  0.9999    0.9999
  75  Mangochi/2018       0.9999  0.9999    0.9999
  76  Mchinji/2015        0.9999  0.9999    0.9999
  77  Mchinji/2016        0.9999  0.9999    0.9999
  78  Mchinji/2017        0.9999  0.9999    0.9999
  79  Mchinji/2018        0.9999  0.9999    0.9999
  80  Mwanza/2015         0.9999  0.9999    0.9999
  81  Mwanza/2016         0.9999  0.9999    0.9999
  82  Mwanza/2017         0.9999  0.9999    0.9999
  83  Mwanza/2018         0.9999  0.9999    0.9999
  84  Mzimba/2015         0.9999  0.9999    0.9999
  85  Mzimba/2016         0.9999  0.9999    0.9999
  86  Mzimba/2017         0.9999  0.9999    0.9999
  87  Mzimba/2018         0.9999  0.9999    0.9999
  88  Mzuzu City/2015     0.9999  0.9999    0.9999
  89  Mzuzu City/2016     0.9999  0.9999    0.9999
  90  Mzuzu City/2017     0.9999  0.9999    0.9999
  91  Mzuzu City/2018     0.9999  0.9999    0.9999
  92  Neno/2015           0.9999  0.9999    0.9999
  93  Neno/2016           0.9999  0.9999    0.9999
  94  Neno/2017           0.9999  0.9999    0.9999
  95  Neno/2018           0.9999  0.9999    0.9999
  96  Nkhata Bay/2015     0.9999  0.9999    0.9999
  97  Nkhata Bay/2016     0.9999  0.9999    0.9999
  98  Nkhata Bay/2017     0.9999  0.9999    0.9999
  99  Nkhata Bay/2018     0.9999  0.9999    0.9999
 100  Ntcheu/2015         0.9999  0.9999    0.9999
 101  Ntcheu/2016         0.9999  0.9999    0.9999
 102  Ntcheu/2017         0.9999  0.9999    0.9999
 103  Ntcheu/2018         0.9999  0.9999    0.9999
 104  Ntchisi/2015        0.9999  0.9999    0.9999
 105  Ntchisi/2016        0.9999  0.9999    0.9999
 106  Ntchisi/2017        0.9999  0.9999    0.9999
