Module,Parameter,max_healthsystem_function,max_healthcare_seeking,Note [0 .0---> 0.0001 and 1.0 --> 0.9999 so that floating point value is preserved]
Alri,sensitivity_of_classification_of_fast_breathing_pneumonia_facility_level0,0.9999,,
Alri,sensitivity_of_classification_of_danger_signs_pneumonia_facility_level0,0.9999,,
Alri,sensitivity_of_classification_of_non_severe_pneumonia_facility_level1,0.9999,,
Alri,sensitivity_of_classification_of_severe_pneumonia_facility_level1,0.9999,,
Alri,sensitivity_of_classification_of_non_severe_pneumonia_facility_level2,0.9999,,
Alri,sensitivity_of_classification_of_severe_pneumonia_facility_level2,0.9999,,
Alri,prob_iCCM_severe_pneumonia_treated_as_fast_breathing_pneumonia,0.7,,"Remain, as sensitivity_of_classification_of_danger_signs_pneumonia_facility_level0 = 1.0, this parameter does not matter"
Alri,prob_IMCI_severe_pneumonia_treated_as_non_severe_pneumonia,0.7,,"Remain, as sensitivity_of_classification_of_severe_pneumonia_facility_level1 = 1.0, this parameter does not matter"
Alri,prob_for_followup_if_treatment_failure,0.9999,,
CardioMetabolicDisorders,ever_stroke_hsi,#ever_stroke!A1,,"ever_stroke_hsi/sensitivity_of_assessment, ever_stroke_hsi/pr_assessed_other_symptoms"
CardioMetabolicDisorders,ever_heart_attack_hsi,#ever_heart_attack!A1,,"ever_heart_attack_hsi/sensitivity_of_assessment, ever_heart_attack_hsi/pr_assessed_other_symptoms"
CardioMetabolicDisorders,diabetes_hsi,#diabetes!A1,,"diabetes_hsi/sensitivity_of_assessment, diabetes_hsi/pr_assessed_other_symptoms"
CardioMetabolicDisorders,diabetes_hsi,,#diabetes!A1,diabetes_hsi/pr_seeking_further_appt_if_drug_not_available
CardioMetabolicDisorders,hypertension_hsi,#hypertension!A1,,"hypertension_hsi/sensitivity_of_assessment, hypertension_hsi/pr_assessed_other_symptoms"
CardioMetabolicDisorders,hypertension_hsi,,#hypertension!A1,hypertension_hsi/pr_seeking_further_appt_if_drug_not_available
