District/Frequency,PSAC,SAC,Adults
Blantyre/12,0.9999,0.9999,0.9999
Chiradzulu/12,0.9999,0.9999,0.9999
Mulanje/12,0.9999,0.9999,0.9999
Nkhotakota/12,0.9999,0.9999,0.9999
Nsanje/12,0.9999,0.9999,0.9999
Phalombe/12,0.9999,0.9999,0.9999
Balaka/0,0.9999,0.9999,0.9999
Blantyre City/0,0.9999,0.9999,0.9999
Chikwawa/0,0.9999,0.9999,0.9999
Chitipa/0,0.9999,0.9999,0.9999
Dedza/0,0.9999,0.9999,0.9999
Dowa/0,0.9999,0.9999,0.9999
Karonga/0,0.9999,0.9999,0.9999
Kasungu/0,0.9999,0.9999,0.9999
Likoma/0,0.9999,0.9999,0.9999
Lilongwe/0,0.9999,0.9999,0.9999
Lilongwe City/0,0.9999,0.9999,0.9999
Machinga/0,0.9999,0.9999,0.9999
Mangochi/0,0.9999,0.9999,0.9999
Mchinji/0,0.9999,0.9999,0.9999
Mwanza/0,0.9999,0.9999,0.9999
Mzimba/0,0.9999,0.9999,0.9999
Mzuzu City/0,0.9999,0.9999,0.9999
Neno/0,0.9999,0.9999,0.9999
Nkhata Bay/0,0.9999,0.9999,0.9999
Ntcheu/0,0.9999,0.9999,0.9999
Ntchisi/0,0.9999,0.9999,0.9999
Rumphi/0,0.9999,0.9999,0.9999
Salima/0,0.9999,0.9999,0.9999
Thyolo/0,0.9999,0.9999,0.9999
Zomba/0,0.9999,0.9999,0.9999
Zomba City/0,0.9999,0.9999,0.9999
