OfficerType,Facility_Level,Parameter_name,Value,Description
Clinical,1a,salary_usd,5417.956406,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Clinical,1b,salary_usd,5417.956406,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Clinical,2,salary_usd,5417.956406,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Clinical,3,salary_usd,9248.605237,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Clinical,4,salary_usd,6341.711545,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Clinical,5,salary_usd,10455.86261,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
DCSA,0,salary_usd,2360.992559,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Dental,1a,salary_usd,5154.064976,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Dental,1b,salary_usd,5154.064976,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Dental,2,salary_usd,5154.064976,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Dental,3,salary_usd,8816.043217,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Dental,4,salary_usd,8816.043217,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Dental,5,salary_usd,8816.043217,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Laboratory,1a,salary_usd,5399.42033,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Laboratory,1b,salary_usd,5399.42033,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Laboratory,2,salary_usd,5399.42033,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Laboratory,3,salary_usd,7270.391139,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Laboratory,4,salary_usd,7270.391139,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Laboratory,5,salary_usd,7721.437229,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nursing_and_Midwifery,1a,salary_usd,5814.381165,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nursing_and_Midwifery,1b,salary_usd,5814.381165,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nursing_and_Midwifery,2,salary_usd,5814.381165,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nursing_and_Midwifery,3,salary_usd,6742.990691,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nursing_and_Midwifery,4,salary_usd,6418.157424,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nursing_and_Midwifery,5,salary_usd,12003.98765,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Pharmacy,1a,salary_usd,4573.083451,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Pharmacy,1b,salary_usd,4573.083451,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Pharmacy,2,salary_usd,4573.083451,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Pharmacy,3,salary_usd,7488.522861,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Pharmacy,4,salary_usd,8475.274416,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Pharmacy,5,salary_usd,8650.632907,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Radiography,1a,salary_usd,5979.734886,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Radiography,1b,salary_usd,5979.734886,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Radiography,2,salary_usd,5979.734886,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
