Facility_Level,Officer_Type_Code,Minute_Salary_USD,Facility_ID
0,Clinical,0.0,0
0,Clinical,0.0,4
0,Clinical,0.0,8
0,Clinical,0.0,12
0,Clinical,0.0,16
0,Clinical,0.0,20
0,Clinical,0.0,24
0,Clinical,0.0,28
0,Clinical,0.0,32
0,Clinical,0.0,36
0,Clinical,0.0,40
0,Clinical,0.0,44
0,Clinical,0.0,48
0,Clinical,0.0,52
0,Clinical,0.0,56
0,Clinical,0.0,60
0,Clinical,0.0,64
0,Clinical,0.0,68
0,Clinical,0.0,72
0,Clinical,0.0,76
0,Clinical,0.0,80
0,Clinical,0.0,84
0,Clinical,0.0,88
0,Clinical,0.0,92
0,Clinical,0.0,96
0,Clinical,0.0,100
0,Clinical,0.0,104
0,Clinical,0.0,108
0,Clinical,0.0,112
0,Clinical,0.0,116
0,Clinical,0.0,120
0,Clinical,0.0,124
0,DCSA,0.11578495447237816,0
0,DCSA,0.11578495447237816,4
0,DCSA,0.11578495447237816,8
0,DCSA,0.11578495447237816,12
0,DCSA,0.11578495447237816,16
0,DCSA,0.11578495447237816,20
0,DCSA,0.11578495447237816,24
0,DCSA,0.11578495447237816,28
0,DCSA,0.11578495447237816,32
0,DCSA,0.11578495447237816,36
0,DCSA,0.11578495447237816,40
0,DCSA,0.11578495447237816,44
0,DCSA,0.11578495447237816,48
0,DCSA,0.11578495447237816,52
0,DCSA,0.11578495447237816,56
0,DCSA,0.11578495447237816,60
0,DCSA,0.11578495447237816,64
0,DCSA,0.11578495447237816,68
0,DCSA,0.11578495447237816,72
0,DCSA,0.11578495447237816,76
0,DCSA,0.11578495447237816,80
0,DCSA,0.11578495447237816,84
0,DCSA,0.11578495447237816,88
0,DCSA,0.11578495447237816,92
0,DCSA,0.11578495447237816,96
0,DCSA,0.11578495447237816,100
0,DCSA,0.11578495447237816,104
0,DCSA,0.11578495447237816,108
0,DCSA,0.11578495447237816,112
0,DCSA,0.11578495447237816,116
0,DCSA,0.11578495447237816,120
0,DCSA,0.11578495447237816,124
0,Dental,0.0,0
0,Dental,0.0,4
0,Dental,0.0,8
0,Dental,0.0,12
0,Dental,0.0,16
0,Dental,0.0,20
0,Dental,0.0,24
0,Dental,0.0,28
0,Dental,0.0,32
0,Dental,0.0,36
0,Dental,0.0,40
0,Dental,0.0,44
0,Dental,0.0,48
0,Dental,0.0,52
0,Dental,0.0,56
0,Dental,0.0,60
0,Dental,0.0,64
0,Dental,0.0,68
0,Dental,0.0,72
0,Dental,0.0,76
0,Dental,0.0,80
0,Dental,0.0,84
0,Dental,0.0,88
0,Dental,0.0,92
0,Dental,0.0,96
0,Dental,0.0,100
0,Dental,0.0,104
0,Dental,0.0,108
0,Dental,0.0,112
0,Dental,0.0,116
0,Dental,0.0,120
0,Dental,0.0,124
0,Laboratory,0.0,0
0,Laboratory,0.0,4
0,Laboratory,0.0,8
0,Laboratory,0.0,12
0,Laboratory,0.0,16
0,Laboratory,0.0,20
0,Laboratory,0.0,24
0,Laboratory,0.0,28
0,Laboratory,0.0,32
0,Laboratory,0.0,36
0,Laboratory,0.0,40
0,Laboratory,0.0,44
0,Laboratory,0.0,48
0,Laboratory,0.0,52
0,Laboratory,0.0,56
0,Laboratory,0.0,60
0,Laboratory,0.0,64
0,Laboratory,0.0,68
0,Laboratory,0.0,72
0,Laboratory,0.0,76
0,Laboratory,0.0,80
0,Laboratory,0.0,84
0,Laboratory,0.0,88
0,Laboratory,0.0,92
0,Laboratory,0.0,96
0,Laboratory,0.0,100
0,Laboratory,0.0,104
0,Laboratory,0.0,108
0,Laboratory,0.0,112
0,Laboratory,0.0,116
0,Laboratory,0.0,120
0,Laboratory,0.0,124
0,Mental,0.0,0
0,Mental,0.0,4
0,Mental,0.0,8
0,Mental,0.0,12
0,Mental,0.0,16
0,Mental,0.0,20
0,Mental,0.0,24
0,Mental,0.0,28
0,Mental,0.0,32
0,Mental,0.0,36
0,Mental,0.0,40
0,Mental,0.0,44
0,Mental,0.0,48
0,Mental,0.0,52
0,Mental,0.0,56
0,Mental,0.0,60
0,Mental,0.0,64
