Item_code,Equipment_tlo,Equipment_SEL,Department_name_SEL,Life_Span,Unit_Purchase_Cost,Health Post_Prioritised_Quantity,Community_Prioritised_Quantity,Health Center_Prioritised_Quantity,District_Prioritised_Quantity,Central_Prioritised_Quantity,Notes,Data_Source (Life_Span),Data_source (Unit_Purchase_Cost + Prioritised_Quantity)
0,Height Pole (Stadiometer),Height Pole (Stadiometer),General,15,400,2,0,0,0,0,,Small item,HSSP-III
1,Weighing scale,Salter weighing scale,General,15,3000,6,0,0,0,0,,"Scale, baby",HSSP-III
2,Autoclave,Autoclave,Central Sterilization,10,15029.3,0,0,2,0,8,,Autoclave,HSSP-III
3,Refrigerator,Fridge,Opd Under 5 Clinic,15,409.89,0,0,0,0,16,,"Refrigerator, Commercial",HSSP-III
4,Cold box,Cold box,General,10,58.2,1,0,0,0,0,,"Cold-pack unit, floor",HSSP-III
5,Vaccine Carriers,Vaccine refrigerator (solar),General,10,409.89,1,0,0,0,0,,"Cold-pack unit, floor",HSSP-III
6,Blood pressure machine,Blood pressure machine,General,6,75,2,0,0,0,81,,"Blood pressure device, electronic",HSSP-III
7,Thermometer,"Thermometers, digital",General,5,6,2,0,0,0,0,,"Thermometer, electric",HSSP-III
8,Push bike for mobility,Push bike for mobility,General,15,350,1,0,0,0,0,,,HSSP-III
9,Desk,"Desk, wood",General,20,434.7826087,0,0,0,0,2,,"Desk, metal or wood",HSSP-III
10,Chair,"Chair, office",General,15,77.60869565,0,0,4,0,37,,,HSSP-III
11,Bench,Benches for patients,Maternity,15,112.58,0,3,0,2,4,,"Benches, bins, cabinets, counters, and shelving, built-in",HSSP-III
12,Drug box,Drug box,General,15,557.04,1,0,0,0,0,,,HSSP-III
13,Stethoscope,Stethoscope,General,5,320.4,2,0,0,4,73,,Stethoscope,HSSP-III
14,Urine dip Stick,urine dipstick,General,15,25,0,0,0,0,2,,,HSSP-III
15,Glucometer,Glucometer,General,15,25.07,2,0,0,4,39,,,HSSP-III
16,"Micro cuvettes (5,000 per haemacue) in packs of 1,000 pieces.","Micro cuvettes (5,000 per haemacue) in packs of 1,000 pieces.",General,15,,,,,,,This item is not costed in the SEL,,HSSP-III
17,Haemoglobinometer,Haemacue (Haemoglobinometer),General,15,3000,1,0,0,0,0,,,HSSP-III
18,Caliper for assessing skinfold thickness,Caliper for assessing skinfold thickness,General,15,926.71,2,0,0,0,0,,,HSSP-III
19,Mucous Extractor for neonates,Mucous Extractor for neonates,General,15,30,3,0,0,0,0,,,HSSP-III
20,Penlight,Penlight,General,15,12.99,2,0,0,0,0,,,HSSP-III
21,"Water container, 20 litres with tap, on stand with soap","Water container, 20 litres with tap, on stand with soap",General,15,1502.93,2,0,0,0,0,,,HSSP-III
22,Ear Syringe,Ear Syringe,General,15,652.17,1,0,0,0,0,,,HSSP-III
23,Bucket without tap 20 LITRES,Bucket without tap 20 LITRES,General,15,44.97,4,0,0,0,0,,,HSSP-III
24,MUAC tape,MUAC tape,General,15,5,100,0,0,0,0,,,HSSP-III
25,Measuring Cup,Measuring Cup,General,15,6.15,2,0,0,0,0,,,HSSP-III
