Staff,Staff_ID,Facility_ID
0,0,5737
1,1,5737
2,2,5737
3,3,5737
4,4,5737
5,5,5737
6,6,5737
7,7,8082
8,8,8221
9,9,8082
10,10,8221
11,11,8082
12,12,8221
13,13,8221
14,14,8079
15,15,8221
16,16,8082
17,17,8082
18,18,9062
19,19,9062
20,20,8983
21,21,9230
22,22,9230
23,23,8983
24,24,9230
25,25,8983
26,26,8983
27,27,9230
28,28,9230
29,29,7972
30,30,7972
31,31,7923
32,32,7972
33,33,7923
34,34,7923
35,35,7923
36,36,7972
37,37,7972
38,38,7923
39,39,7972
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,4929
50,50,5160
51,51,5160
52,52,5160
53,53,5160
54,54,4929
55,55,4929
56,56,4929
57,57,4929
58,58,4929
59,59,5160
60,60,5218
61,61,5160
62,62,3776
63,63,3246
64,64,3585
65,65,3246
66,66,3693
67,67,3776
68,68,3776
69,69,3246
70,70,3776
71,71,3246
72,72,3585
73,73,3585
74,74,3246
75,75,458
76,76,367
77,77,367
78,78,458
79,79,442
80,80,442
81,81,214
82,82,442
83,83,214
84,84,2243
85,85,1981
86,86,1981
87,87,2243
88,88,2243
89,89,2243
90,90,1981
91,91,1981
92,92,1981
93,93,1981
94,94,2243
95,95,4377
96,96,4019
97,97,4005
98,98,4059
99,99,3805
100,100,4223
101,101,3805
102,102,4005
103,103,4223
104,104,3805
105,105,3868
106,106,4019
107,107,4223
108,108,4247
109,109,4131
110,110,3868
111,111,3868
112,112,4059
113,113,4131
114,114,4019
115,115,4019
116,116,4329
117,117,4304
118,118,4059
119,119,4304
120,120,4329
121,121,4019
122,122,3868
123,123,4019
124,124,4005
125,125,3805
126,126,3925
127,127,3925
128,128,3868
129,129,4247
130,130,6529
131,131,6529
132,132,6529
133,133,6529
134,134,6529
135,135,6529
136,136,6529
137,137,6236
138,138,6492
139,139,6231
140,140,6492
141,141,6492
142,142,6236
143,143,6492
144,144,6057
145,145,6236
146,146,6236
147,147,6231
148,148,6492
149,149,6492
150,150,4793
151,151,4793
152,152,4720
153,153,4752
154,154,4633
155,155,4633
156,156,4616
157,157,4752
158,158,4793
159,159,4720
160,160,4752
161,161,4720
162,162,4616
163,163,7633
164,164,7633
165,165,7633
166,166,7428
167,167,7428
168,168,7686
169,169,7633
170,170,7633
171,171,7428
172,172,7428
173,173,7428
174,174,8503
175,175,8503
176,176,8503
177,177,8503
178,178,8503
179,179,8503
180,180,8503
181,181,1194
182,182,214
183,183,764
184,184,9062
185,185,9062
186,186,596
187,187,3868
188,188,1194
189,189,1194
190,190,4019
191,191,4752
192,192,5737
193,193,7867
194,194,7069
195,195,9481
196,196,8079
197,197,4304
198,198,2707
199,199,8681
200,200,4005
201,201,214
202,202,4019
203,203,1981
204,204,8388
205,205,8388
206,206,8355
207,207,8355
208,208,8355
209,209,8355
210,210,8355
211,211,1194
212,212,1129
213,213,1194
214,214,1194
215,215,1194
216,216,1194
217,217,1194
218,218,1194
219,219,1194
220,220,2860
221,221,2707
222,222,2641
223,223,2860
224,224,2641
225,225,2707
226,226,2641
227,227,2860
228,228,2707
229,229,2641
230,230,2860
231,231,2641
232,232,2860
233,233,9399
234,234,9273
235,235,9399
236,236,9273
237,237,9481
238,238,9481
239,239,9399
240,240,9399
241,241,9481
242,242,9399
243,243,9481
244,244,9399
245,245,9481
246,246,5318
247,247,5318
248,248,5318
249,249,5318
250,250,5318
251,251,5318
252,252,5318
253,253,5318
254,254,5318
255,255,5318
256,256,5318
257,257,2974
258,258,2974
259,259,2974
260,260,2974
261,261,2974
262,262,2974
263,263,2974
264,264,7867
265,265,7867
266,266,7867
267,267,7867
268,268,7867
269,269,7867
270,270,7867
271,271,7867
272,272,7867
273,273,7867
274,274,7867
275,275,596
276,276,596
277,277,596
278,278,635
279,279,683
280,280,495
281,281,635
282,282,683
283,283,574
284,284,574
285,285,495
286,286,4378
287,287,4378
288,288,4378
289,289,4378
290,290,4378
291,291,4378
292,292,4378
293,293,8801
294,294,8681
295,295,8575
296,296,8801
297,297,8801
298,298,8801
299,299,8801
300,300,8681
301,301,8801
302,302,8681
303,303,8575
304,304,8801
305,305,8575
306,306,7369
307,307,7069
308,308,7069
309,309,7403
310,310,7369
311,311,7369
312,312,7369
313,313,7069
314,314,6987
315,315,7069
316,316,7369
317,317,7069
318,318,7403
319,319,7069
320,320,6987
321,321,4005
322,322,4223
323,323,4329
324,324,4131
325,325,4304
326,326,4329
327,327,4019
328,328,4247
329,329,4377
330,330,4304
331,331,4005
332,332,3925
333,333,3925
334,334,4304
335,335,4223
336,336,4329
337,337,4223
338,338,4329
339,339,4260
340,340,4131
341,341,4019
342,342,4005
343,343,4247
344,344,3868
345,345,4059
346,346,4247
347,347,4377
348,348,4247
349,349,4223
350,350,4247
351,351,4059
352,352,4377
353,353,4005
354,354,4247
355,355,3925
356,356,3868
357,357,3805
358,358,4377
359,359,4304
360,360,4019
361,361,3925
362,362,4005
363,363,3868
364,364,3868
365,365,4329
366,366,4005
367,367,3925
368,368,4304
369,369,4377
370,370,3805
371,371,4059
372,372,4304
373,373,3868
374,374,4019
375,375,4329
376,376,4329
377,377,4260
378,378,3868
379,379,4260
380,380,4329
381,381,4260
382,382,4247
383,383,3868
384,384,4377
385,385,4019
386,386,3868
387,387,4260
388,388,4223
389,389,3868
390,390,4377
391,391,4005
392,392,4005
393,393,4223
394,394,4260
395,395,3868
396,396,4059
397,397,3805
398,398,3925
399,399,4059
400,400,4223
401,401,3868
402,402,4005
403,403,3868
404,404,4377
405,405,4005
406,406,4059
407,407,4059
408,408,4005
409,409,3925
410,410,4019
411,411,4005
412,412,4247
413,413,4005
414,414,4019
415,415,4329
416,416,3805
417,417,3925
418,418,4329
419,419,4059
420,420,4019
421,421,4131
422,422,4377
423,423,4223
424,424,4260
425,425,3925
426,426,4377
427,427,4377
428,428,4377
429,429,4223
430,430,3868
431,431,3925
432,432,4059
433,433,3868
434,434,4131
435,435,4247
436,436,4329
437,437,4131
438,438,4131
439,439,4377
440,440,4304
441,441,4260
442,442,4329
443,443,4223
444,444,4223
445,445,4633
446,446,214
447,447,1947
448,448,3868
449,449,0
450,450,4131
451,451,4005
452,452,574
453,453,7369
454,454,596
455,455,2898
456,456,8575
457,457,5160
458,458,777
459,459,2974
460,460,3585
461,461,495
462,462,6057
463,463,596
464,464,4752
465,465,780
466,466,3805
467,467,6529
468,468,3805
469,469,4720
470,470,2641
471,471,764
472,472,1194
473,473,574
474,474,8355
475,475,5318
476,476,635
477,477,2243
478,478,6057
479,479,1390
480,480,4304
481,481,4223
482,482,4260
483,483,1595
484,484,4633
485,485,214
486,486,4720
487,487,7972
488,488,4247
489,489,6529
490,490,1390
491,491,495
492,492,6236
493,493,4059
494,494,683
495,495,1595
496,496,635
497,497,596
498,498,6529
499,499,2974
500,500,3246
501,501,6057
502,502,4247
503,503,4247
504,504,458
505,505,7867
506,506,3585
507,507,9062
508,508,5218
509,509,3925
510,510,5737
511,511,4247
512,512,1748
513,513,596
514,514,9399
515,515,3246
516,516,9273
517,517,4378
518,518,7369
519,519,4720
520,520,7633
521,521,0
522,522,8681
523,523,9230
524,524,6529
525,525,458
526,526,8221
527,527,7428
528,528,3246
529,529,1129
530,530,6231
531,531,442
532,532,442
533,533,7428
534,534,2641
535,535,0
536,536,6529
537,537,3585
538,538,9273
539,539,3693
540,540,2707
541,541,442
542,542,4377
543,543,4929
544,544,1947
545,545,1390
546,546,2860
547,547,8503
548,548,777
549,549,780
550,550,4929
551,551,7069
552,552,495
553,553,4929
554,554,214
555,555,2641
556,556,8221
557,557,8221
558,558,8079
559,559,8079
560,560,8221
561,561,8082
562,562,8079
563,563,8079
564,564,8221
565,565,8082
566,566,8079
567,567,8082
568,568,8082
569,569,8079
570,570,8082
571,571,8221
572,572,8221
573,573,8079
574,574,8221
575,575,8221
576,576,8079
577,577,8082
578,578,8079
579,579,8221
580,580,8221
581,581,8079
582,582,8079
583,583,8079
584,584,8221
585,585,8221
586,586,8221
587,587,8221
588,588,8221
589,589,8082
590,590,8079
591,591,8082
592,592,8079
593,593,8221
594,594,8079
595,595,8079
596,596,8082
597,597,8079
598,598,8079
599,599,8079
600,600,8082
601,601,8082
602,602,8221
603,603,8079
604,604,8221
605,605,8221
606,606,8079
607,607,8079
