,Facility_ID,Officer_Type_Code,Total_Minutes_Per_Day,District,Facility_Level,Facility_Type,Region,Facility_Name,Officer_Type
0,0,E01,13696.016427104812,Chitipa,0,Community Health Station,Northern,Community Health Station_Chitipa,DCSA
1,0,N01,478.4229979466119,Chitipa,0,Community Health Station,Northern,Community Health Station_Chitipa,Nurse Officer
2,0,N02,11125.026694045166,Chitipa,0,Community Health Station,Northern,Community Health Station_Chitipa,Nurse Midwife Technician
3,1,N01,584.7392197125256,Chitipa,1,Health Centre,Northern,Health Centre_Chitipa,Nurse Officer
4,1,N02,11623.162217659126,Chitipa,1,Health Centre,Northern,Health Centre_Chitipa,Nurse Midwife Technician
5,1,P02,1717.0299794661196,Chitipa,1,Health Centre,Northern,Health Centre_Chitipa,Pharm Technician
6,1,P03,763.1244353182752,Chitipa,1,Health Centre,Northern,Health Centre_Chitipa,Pharm Assistant
7,2,L02,1974.9322381930187,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Lab Technician
8,2,L03,1463.7733059548257,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Lab Assistant
9,2,M01,502.43285420944557,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Medical Officer / Specialist
10,2,M02,6382.495277207395,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Clinical Officer / Technician
11,2,M03,3023.586036960985,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Med. Assistant
12,2,N01,318.9486652977413,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Nurse Officer
13,2,N02,10294.800821355231,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Nurse Midwife Technician
14,2,P01,190.7811088295688,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Pharmacist
15,2,P02,763.1244353182752,Chitipa,2,Non-District Hospital,Northern,Non-District Hospital_Chitipa,Pharm Technician
16,3,C01,200.39753593429157,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Mental Health Staff
17,3,D01,200.39753593429157,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Dental Officer
18,3,D02,2605.167967145791,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Dental Therapist
19,3,L01,191.6845995893224,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Lab Officer
20,3,L02,987.4661190965094,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Lab Technician
21,3,L03,836.4418891170432,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Lab Assistant
22,3,M01,251.21642710472275,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Medical Officer / Specialist
23,3,M02,7214.994661190968,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Clinical Officer / Technician
24,3,M03,2473.843121149897,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Med. Assistant
25,3,N01,265.7905544147844,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Nurse Officer
26,3,N02,11291.071868583153,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Nurse Midwife Technician
27,3,P02,953.905544147844,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Pharm Technician
28,3,P03,953.905544147844,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Pharm Assistant
29,3,R01,618.4607802874743,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Radiographer
30,3,R02,987.4661190965094,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Radiography Technician
31,3,T01,200.39753593429157,Chitipa,3,District Hospital,Northern,District Hospital_Chitipa,Nutrition Staff
32,4,E01,13696.016427104812,Karonga,0,Community Health Station,Northern,Community Health Station_Karonga,DCSA
33,4,N01,531.5811088295687,Karonga,0,Community Health Station,Northern,Community Health Station_Karonga,Nurse Officer
34,4,N02,16106.381930184773,Karonga,0,Community Health Station,Northern,Community Health Station_Karonga,Nurse Midwife Technician
35,5,N01,265.7905544147844,Karonga,1,Health Centre,Northern,Health Centre_Karonga,Nurse Officer
36,5,N02,13615.704312114969,Karonga,1,Health Centre,Northern,Health Centre_Karonga,Nurse Midwife Technician
37,5,P02,2098.5921971252574,Karonga,1,Health Centre,Northern,Health Centre_Karonga,Pharm Technician
38,5,P03,1335.4677618069818,Karonga,1,Health Centre,Northern,Health Centre_Karonga,Pharm Assistant
39,6,L01,191.6845995893224,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Lab Officer
40,6,L02,2369.9186858316225,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Lab Technician
41,6,L03,1881.9942505133474,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Lab Assistant
42,6,M01,334.95523613963036,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Medical Officer / Specialist
43,6,M02,8324.993839835732,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Clinical Officer / Technician
44,6,M03,3023.586036960985,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Med. Assistant
45,6,N01,372.10677618069815,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Nurse Officer
46,6,N02,16272.42710472276,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Nurse Midwife Technician
47,6,P02,572.3433264887065,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Pharm Technician
48,6,P03,1335.4677618069818,Karonga,2,Non-District Hospital,Northern,Non-District Hospital_Karonga,Pharm Assistant
49,7,C01,200.39753593429157,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Mental Health Staff
50,7,D01,200.39753593429157,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Dental Officer
51,7,D02,4007.9507186858327,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Dental Therapist
52,7,L02,1974.9322381930187,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Lab Technician
53,7,L03,1881.9942505133474,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Lab Assistant
54,7,M01,418.69404517453796,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Medical Officer / Specialist
55,7,M02,7492.494455852159,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Clinical Officer / Technician
56,7,M03,4397.943326488707,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Med. Assistant
57,7,N01,531.5811088295687,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Nurse Officer
58,7,N02,15442.201232032825,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Nurse Midwife Technician
59,7,P01,190.7811088295688,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Pharmacist
60,7,P02,2098.5921971252574,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Pharm Technician
61,7,P03,381.5622176591376,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Pharm Assistant
62,7,R01,618.4607802874743,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Radiographer
63,7,R02,1777.4390143737169,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Radiography Technician
64,7,T01,200.39753593429157,Karonga,3,District Hospital,Northern,District Hospital_Karonga,Nutrition Staff
65,8,E01,6848.008213552362,Nkhata Bay,0,Community Health Station,Northern,Community Health Station_Nkhata Bay,DCSA
66,8,N01,265.7905544147844,Nkhata Bay,0,Community Health Station,Northern,Community Health Station_Nkhata Bay,Nurse Officer
67,8,N02,8634.349075975362,Nkhata Bay,0,Community Health Station,Northern,Community Health Station_Nkhata Bay,Nurse Midwife Technician
68,9,N01,265.7905544147844,Nkhata Bay,1,Health Centre,Northern,Health Centre_Nkhata Bay,Nurse Officer
69,9,N02,9464.574948665297,Nkhata Bay,1,Health Centre,Northern,Health Centre_Nkhata Bay,Nurse Midwife Technician
70,9,P02,1335.4677618069818,Nkhata Bay,1,Health Centre,Northern,Health Centre_Nkhata Bay,Pharm Technician
71,9,P03,763.1244353182752,Nkhata Bay,1,Health Centre,Northern,Health Centre_Nkhata Bay,Pharm Assistant
72,10,L01,191.6845995893224,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Lab Officer
73,10,L02,987.4661190965094,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Lab Technician
74,10,L03,836.4418891170432,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Lab Assistant
75,10,M01,83.73880903490759,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Medical Officer / Specialist
76,10,M02,4301.246817248461,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Clinical Officer / Technician
77,10,M03,2198.971663244353,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Med. Assistant
78,10,N01,53.15811088295689,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Nurse Officer
79,10,N02,8800.39425051335,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Nurse Midwife Technician
80,10,P02,953.905544147844,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Pharm Technician
81,10,P03,572.3433264887065,Nkhata Bay,2,Non-District Hospital,Northern,Non-District Hospital_Nkhata Bay,Pharm Assistant
82,11,D02,2605.167967145791,Nkhata Bay,3,District Hospital,Northern,District Hospital_Nkhata Bay,Dental Therapist
83,11,L02,1579.945790554415,Nkhata Bay,3,District Hospital,Northern,District Hospital_Nkhata Bay,Lab Technician
84,11,L03,1672.8837782340865,Nkhata Bay,3,District Hospital,Northern,District Hospital_Nkhata Bay,Lab Assistant
85,11,M01,251.21642710472275,Nkhata Bay,3,District Hospital,Northern,District Hospital_Nkhata Bay,Medical Officer / Specialist
86,11,M02,4856.246406570844,Nkhata Bay,3,District Hospital,Northern,District Hospital_Nkhata Bay,Clinical Officer / Technician
87,11,M03,2198.971663244353,Nkhata Bay,3,District Hospital,Northern,District Hospital_Nkhata Bay,Med. Assistant
88,11,N01,265.7905544147844,Nkhata Bay,3,District Hospital,Northern,District Hospital_Nkhata Bay,Nurse Officer
