name,odds_ratio_health_seeking_in_children,odds_ratio_health_seeking_in_adults,prob_spurious_occurrence_in_children_per_day,prob_spurious_occurrence_in_adults_per_day,duration_in_days_of_spurious_occurrence_in_children,duration_in_days_of_spurious_occurrence_in_adults,prob_seeks_emergency_appt_in_adults,prob_seeks_emergency_appt_in_children
fever, 2.91, 1.30, 0.001, 0.001, 7, 4,0.0,0.0
vomiting, 1.31, 0.48, 0.001, 0.001, 7, 4,0.0,0.0
stomachache, 0.70, 0.48, 0.001, 0.001, 7, 4,0.0,0.0
sore_throat, 1.07, 0.58, 0.001, 0.001, 7, 4,0.0,0.0
respiratory_symptoms, 0.55, 0.48, 0.001, 0.001, 7, 4,0.0,0.0
headache, 0.39, 0.28, 0.001, 0.001, 7, 4,0.0,0.0
skin_complaint, 2.82, 0.76, 0.001, 0.001, 7, 4,0.0,0.0
dental_complaint, 0.39, 0.92, 0.001, 0.001, 7, 4,0.0,0.0
backache, 1.0, 0.56, 0.001, 0.001, 7, 4,0.0,0.0
injury, 0.55, 0.68, 0.001, 0.001, 7, 4,0.0,0.0
eye_complaint, 1.32, 3.45, 0.001, 0.001, 7, 4,0.0,0.0
diarrhoea, 0.70, 0.48, 0.001, 0.001, 7, 4,0.0,0.0
spurious_emergency_symptom,10000.0,10000.0,0.00004,0.00004,7,4,1.0,1.0
