Staff,District,Officer,Staff_ID
0,Balaka,Medical Officer / Specialist,0
1,Balaka,Medical Officer / Specialist,1
2,Balaka,Medical Officer / Specialist,2
3,Balaka,Medical Officer / Specialist,3
4,Balaka,Medical Officer / Specialist,4
5,Balaka,Medical Officer / Specialist,5
6,Balaka,Medical Officer / Specialist,6
7,Blantyre,Medical Officer / Specialist,7
8,Blantyre,Medical Officer / Specialist,8
9,Blantyre,Medical Officer / Specialist,9
10,Blantyre,Medical Officer / Specialist,10
11,Blantyre,Medical Officer / Specialist,11
12,Blantyre,Medical Officer / Specialist,12
13,Blantyre,Medical Officer / Specialist,13
14,Blantyre,Medical Officer / Specialist,14
15,Blantyre,Medical Officer / Specialist,15
16,Blantyre,Medical Officer / Specialist,16
17,Blantyre,Medical Officer / Specialist,17
18,Chikwawa,Medical Officer / Specialist,18
19,Chikwawa,Medical Officer / Specialist,19
20,Chikwawa,Medical Officer / Specialist,20
21,Chikwawa,Medical Officer / Specialist,21
22,Chikwawa,Medical Officer / Specialist,22
23,Chikwawa,Medical Officer / Specialist,23
24,Chikwawa,Medical Officer / Specialist,24
25,Chikwawa,Medical Officer / Specialist,25
26,Chikwawa,Medical Officer / Specialist,26
27,Chikwawa,Medical Officer / Specialist,27
28,Chikwawa,Medical Officer / Specialist,28
29,Chiradzulu,Medical Officer / Specialist,29
30,Chiradzulu,Medical Officer / Specialist,30
31,Chiradzulu,Medical Officer / Specialist,31
32,Chiradzulu,Medical Officer / Specialist,32
33,Chiradzulu,Medical Officer / Specialist,33
34,Chiradzulu,Medical Officer / Specialist,34
35,Chiradzulu,Medical Officer / Specialist,35
36,Chiradzulu,Medical Officer / Specialist,36
37,Chiradzulu,Medical Officer / Specialist,37
38,Chiradzulu,Medical Officer / Specialist,38
39,Chiradzulu,Medical Officer / Specialist,39
40,Chitipa,Medical Officer / Specialist,40
41,Chitipa,Medical Officer / Specialist,41
42,Chitipa,Medical Officer / Specialist,42
43,Chitipa,Medical Officer / Specialist,43
44,Chitipa,Medical Officer / Specialist,44
45,Chitipa,Medical Officer / Specialist,45
46,Chitipa,Medical Officer / Specialist,46
47,Chitipa,Medical Officer / Specialist,47
48,Chitipa,Medical Officer / Specialist,48
49,Dedza,Medical Officer / Specialist,49
50,Dedza,Medical Officer / Specialist,50
51,Dedza,Medical Officer / Specialist,51
52,Dedza,Medical Officer / Specialist,52
53,Dedza,Medical Officer / Specialist,53
54,Dedza,Medical Officer / Specialist,54
