,Officer_Type_Code,Appt_Type_Code,Facility_Level,Time_Taken,Officer_Type
0,M01,InpatientDays,3,5.0,Medical Officer / Specialist
1,M01,IPAdmission,3,7.5,Medical Officer / Specialist
2,M01,Under5OPD,3,5.0,Medical Officer / Specialist
3,M01,Over5OPD,3,3.5,Medical Officer / Specialist
4,M01,CompDelivery,3,10.5,Medical Officer / Specialist
5,M01,Csection,3,22.5,Medical Officer / Specialist
6,M01,AntenatalFirst,3,1.5,Medical Officer / Specialist
7,M01,ANCSubsequent,3,0.5,Medical Officer / Specialist
8,M01,U5Malnutr,3,1.0,Medical Officer / Specialist
9,M01,AccidentsandEmerg,3,12.0,Medical Officer / Specialist
10,M01,MajorSurg,3,172.0,Medical Officer / Specialist
11,M01,MinorSurg,3,60.0,Medical Officer / Specialist
12,M01,TBNew,3,4.5,Medical Officer / Specialist
13,M01,TBFollowUp,3,2.5,Medical Officer / Specialist
14,M01,MaleCirc,3,10.0,Medical Officer / Specialist
15,M01,NewAdult,3,6.0,Medical Officer / Specialist
16,M01,EstMedCom,3,4.5,Medical Officer / Specialist
17,M01,PMTCT,3,3.0,Medical Officer / Specialist
18,M01,Peds,3,3.0,Medical Officer / Specialist
19,M01,InpatientDays,2,5.0,Medical Officer / Specialist
20,M01,IPAdmission,2,7.5,Medical Officer / Specialist
21,M01,Under5OPD,2,5.0,Medical Officer / Specialist
22,M01,Over5OPD,2,3.5,Medical Officer / Specialist
23,M01,CompDelivery,2,10.5,Medical Officer / Specialist
24,M01,Csection,2,22.5,Medical Officer / Specialist
25,M01,AntenatalFirst,2,1.5,Medical Officer / Specialist
26,M01,ANCSubsequent,2,0.5,Medical Officer / Specialist
27,M01,U5Malnutr,2,1.0,Medical Officer / Specialist
28,M01,AccidentsandEmerg,2,12.0,Medical Officer / Specialist
29,M01,MajorSurg,2,172.0,Medical Officer / Specialist
30,M01,MinorSurg,2,60.0,Medical Officer / Specialist
31,M01,TBNew,2,4.5,Medical Officer / Specialist
32,M01,TBFollowUp,2,2.5,Medical Officer / Specialist
33,M01,MaleCirc,2,10.0,Medical Officer / Specialist
34,M01,NewAdult,2,6.0,Medical Officer / Specialist
35,M01,EstMedCom,2,4.5,Medical Officer / Specialist
36,M01,PMTCT,2,3.0,Medical Officer / Specialist
37,M01,Peds,2,3.0,Medical Officer / Specialist
38,M01,InpatientDays,1,0.3125,Medical Officer / Specialist
42,M01,CompDelivery,1,0.75,Medical Officer / Specialist
43,M01,Csection,1,2.25,Medical Officer / Specialist
45,M01,ANCSubsequent,1,0.0625,Medical Officer / Specialist
46,M01,U5Malnutr,1,0.25,Medical Officer / Specialist
47,M01,AccidentsandEmerg,1,1.5,Medical Officer / Specialist
48,M01,MajorSurg,1,43.0,Medical Officer / Specialist
49,M01,MinorSurg,1,15.0,Medical Officer / Specialist
76,M02,InpatientDays,3,7.0,Clinical Officer / Technician
77,M02,IPAdmission,3,10.0,Clinical Officer / Technician
78,M02,Under5OPD,3,6.0,Clinical Officer / Technician
79,M02,Over5OPD,3,6.0,Clinical Officer / Technician
80,M02,CompDelivery,3,19.5,Clinical Officer / Technician
81,M02,Csection,3,22.5,Clinical Officer / Technician
82,M02,AntenatalFirst,3,1.5,Clinical Officer / Technician
83,M02,ANCSubsequent,3,0.5,Clinical Officer / Technician
84,M02,STI,3,5.0,Clinical Officer / Technician
86,M02,U5Malnutr,3,1.6,Clinical Officer / Technician
87,M02,AccidentsandEmerg,3,24.0,Clinical Officer / Technician
88,M02,MajorSurg,3,190.0,Clinical Officer / Technician
89,M02,MinorSurg,3,80.0,Clinical Officer / Technician
90,M02,TBNew,3,4.5,Clinical Officer / Technician
91,M02,TBFollowUp,3,2.5,Clinical Officer / Technician
92,M02,MaleCirc,3,10.0,Clinical Officer / Technician
93,M02,NewAdult,3,6.0,Clinical Officer / Technician
94,M02,EstMedCom,3,7.5,Clinical Officer / Technician
95,M02,EstNonCom,3,7.0,Clinical Officer / Technician
96,M02,PMTCT,3,3.0,Clinical Officer / Technician
97,M02,Peds,3,12.0,Clinical Officer / Technician
98,M02,InpatientDays,2,7.0,Clinical Officer / Technician
99,M02,IPAdmission,2,10.0,Clinical Officer / Technician
100,M02,Under5OPD,2,6.0,Clinical Officer / Technician
101,M02,Over5OPD,2,6.0,Clinical Officer / Technician
102,M02,CompDelivery,2,19.5,Clinical Officer / Technician
103,M02,Csection,2,22.5,Clinical Officer / Technician
104,M02,AntenatalFirst,2,1.5,Clinical Officer / Technician
105,M02,ANCSubsequent,2,0.5,Clinical Officer / Technician
106,M02,STI,2,5.0,Clinical Officer / Technician
108,M02,U5Malnutr,2,1.6,Clinical Officer / Technician
109,M02,AccidentsandEmerg,2,24.0,Clinical Officer / Technician
