pulm tb (.csv)
==============

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_TB/pulm_tb.csv>`

====  =====  =====  ============
  ..    age  hiv      prob\_pulm
====  =====  =====  ============
   0      0  False          0.7
   1      1  False          0.74
   2      2  False          0.91
   3      3  False          0.91
   4      4  False          0.91
   5      5  False          0.89
   6      6  False          0.89
   7      7  False          0.89
   8      8  False          0.89
   9      9  False          0.89
  10     10  False          0.99
  11     11  False          0.99
  12     12  False          0.99
  13     13  False          0.99
  14     14  False          0.99
  15     15  False          0.8
  16     16  False          0.8
  17     17  False          0.8
  18     18  False          0.8
  19     19  False          0.8
  20     20  False          0.8
  21     21  False          0.8
  22     22  False          0.8
  23     23  False          0.8
  24     24  False          0.8
  25     25  False          0.8
  26     26  False          0.8
  27     27  False          0.8
  28     28  False          0.8
  29     29  False          0.8
  30     30  False          0.8
  31     31  False          0.8
  32     32  False          0.8
  33     33  False          0.8
  34     34  False          0.8
  35     35  False          0.8
  36     36  False          0.8
  37     37  False          0.8
  38     38  False          0.8
  39     39  False          0.8
  40     40  False          0.8
  41     41  False          0.8
  42     42  False          0.8
  43     43  False          0.8
  44     44  False          0.8
  45     45  False          0.8
  46     46  False          0.8
  47     47  False          0.8
  48     48  False          0.8
  49     49  False          0.8
  50     50  False          0.8
  51     51  False          0.8
  52     52  False          0.8
  53     53  False          0.8
  54     54  False          0.8
  55     55  False          0.8
  56     56  False          0.8
  57     57  False          0.8
  58     58  False          0.8
  59     59  False          0.8
  60     60  False          0.8
  61     61  False          0.8
  62     62  False          0.8
  63     63  False          0.8
  64     64  False          0.8
  65     65  False          0.8
  66     66  False          0.8
  67     67  False          0.8
  68     68  False          0.8
  69     69  False          0.8
  70     70  False          0.8
  71     71  False          0.8
  72     72  False          0.8
  73     73  False          0.8
  74     74  False          0.8
  75     75  False          0.8
  76     76  False          0.8
  77     77  False          0.8
  78     78  False          0.8
  79     79  False          0.8
  80     80  False          0.8
  81     81  False          0.8
  82     82  False          0.8
  83     83  False          0.8
  84     84  False          0.8
  85     85  False          0.8
  86     86  False          0.8
  87     87  False          0.8
  88     88  False          0.8
  89     89  False          0.8
  90     90  False          0.8
  91     91  False          0.8
  92     92  False          0.8
  93     93  False          0.8
  94     94  False          0.8
  95     95  False          0.8
  96     96  False          0.8
  97     97  False          0.8
  98     98  False          0.8
  99     99  False          0.8
 100    100  False          0.8
 101      0  True           0.5
 102      1  True           0.5
 103      2  True           0.5
 104      3  True           0.5
 105      4  True           0.5
 106      5  True           0.5
 107      6  True           0.5
 108      7  True           0.5
 109      8  True           0.5
 110      9  True           0.5
 111     10  True           0.5
 112     11  True           0.5
 113     12  True           0.5
 114     13  True           0.5
 115     14  True           0.5
 116     15  True           0.5
 117     16  True           0.5
 118     17  True           0.5
 119     18  True           0.5
 120     19  True           0.5
 121     20  True           0.5
 122     21  True           0.5
 123     22  True           0.5
 124     23  True           0.5
 125     24  True           0.5
 126     25  True           0.5
 127     26  True           0.5
 128     27  True           0.5
 129     28  True           0.5
 130     29  True           0.5
 131     30  True           0.5
 132     31  True           0.5
 133     32  True           0.5
 134     33  True           0.5
 135     34  True           0.5
 136     35  True           0.5
 137     36  True           0.5
 138     37  True           0.5
 139     38  True           0.5
 140     39  True           0.5
 141     40  True           0.5
 142     41  True           0.5
 143     42  True           0.5
 144     43  True           0.5
 145     44  True           0.5
 146     45  True           0.5
 147     46  True           0.5
 148     47  True           0.5
 149     48  True           0.5
 150     49  True           0.5
 151     50  True           0.5
 152     51  True           0.5
 153     52  True           0.5
 154     53  True           0.5
 155     54  True           0.5
 156     55  True           0.5
 157     56  True           0.5
 158     57  True           0.5
 159     58  True           0.5
 160     59  True           0.5
 161     60  True           0.5
 162     61  True           0.5
 163     62  True           0.5
 164     63  True           0.5
 165     64  True           0.5
 166     65  True           0.5
 167     66  True           0.5
 168     67  True           0.5
 169     68  True           0.5
 170     69  True           0.5
 171     70  True           0.5
 172     71  True           0.5
 173     72  True           0.5
 174     73  True           0.5
 175     74  True           0.5
 176     75  True           0.5
 177     76  True           0.5
 178     77  True           0.5
 179     78  True           0.5
 180     79  True           0.5
 181     80  True           0.5
 182     81  True           0.5
 183     82  True           0.5
 184     83  True           0.5
 185     84  True           0.5
 186     85  True           0.5
 187     86  True           0.5
 188     87  True           0.5
 189     88  True           0.5
 190     89  True           0.5
 191     90  True           0.5
 192     91  True           0.5
 193     92  True           0.5
 194     93  True           0.5
 195     94  True           0.5
 196     95  True           0.5
 197     96  True           0.5
 198     97  True           0.5
 199     98  True           0.5
 200     99  True           0.5
 201    100  True           0.5
====  =====  =====  ============
