Treatment,Priority,FT_if_5orUnder,FT_if_pregnant,FT_if_tbdiagnosed,FT_if_Hivdiagnosed
FirstAttendance_Emergency,1,0,-1,-1,-1
FirstAttendance_SpuriousEmergencyCare,1,0,-1,-1,-1
Alri_Pneumonia_Treatment_Outpatient,3,-1,-1,-1,-1
Alri_Pneumonia_Treatment_Inpatient,3,-1,-1,-1,-1
Alri_Pneumonia_Treatment_Inpatient_Followup,3,-1,-1,-1,-1
BladderCancer_Investigation,3,-1,-1,-1,-1
BladderCancer_PalliativeCare,3,-1,-1,-1,-1
BladderCancer_Treatment,3,-1,-1,-1,-1
BreastCancer_Investigation,3,-1,-1,-1,-1
BreastCancer_PalliativeCare,3,-1,-1,-1,-1
BreastCancer_Treatment,3,-1,-1,-1,-1
CardioMetabolicDisorders_Investigation,2,-1,-1,-1,-1
CardioMetabolicDisorders_Prevention_CommunityTestingForHypertension,2,-1,-1,-1,-1
CardioMetabolicDisorders_Prevention_WeightLoss,2,-1,-1,-1,-1
CardioMetabolicDisorders_Treatment,2,-1,-1,-1,-1
CardioMetabolicDisorders_Treatment_Haemodialysis,2,-1,-1,-1,-1
AntenatalCare_FollowUp,3,-1,-1,-1,-1
AntenatalCare_Inpatient,3,-1,-1,-1,-1
AntenatalCare_Outpatient,3,-1,-1,-1,-1
AntenatalCare_PostAbortion,3,-1,-1,-1,-1
AntenatalCare_PostEctopicPregnancy,3,-1,-1,-1,-1
Contraception_Routine,3,-1,-1,-1,-1
Copd_Treatment,2,-1,-1,-1,-1
Depression_TalkingTherapy,3,-1,-1,-1,-1
Depression_Treatment,3,-1,-1,-1,-1
Diarrhoea_Treatment_Inpatient,3,-1,-1,-1,-1
Diarrhoea_Treatment_Outpatient,3,-1,-1,-1,-1
Epi_Adolescent_Hpv,3,-1,-1,-1,-1
Epi_Childhood_Bcg,3,-1,-1,-1,-1
Epi_Childhood_DtpHibHep,3,-1,-1,-1,-1
Epi_Childhood_MeaslesRubella,3,-1,-1,-1,-1
Epi_Childhood_Opv,3,-1,-1,-1,-1
Epi_Childhood_Pneumo,3,-1,-1,-1,-1
Epi_Childhood_Rota,3,-1,-1,-1,-1
Epi_Pregnancy_Td,3,-1,-1,-1,-1
Epilepsy_Treatment_Followup,3,-1,-1,-1,-1
Epilepsy_Treatment_Start,3,-1,-1,-1,-1
FirstAttendance_NonEmergency,3,-1,-1,-1,-1
Hiv_Prevention_Circumcision,3,-1,-1,-1,-1
Hiv_Prevention_Infant,3,-1,-1,-1,-1
Hiv_Prevention_Prep,3,-1,-1,-1,-1
Hiv_Test,3,-1,-1,-1,-1
Hiv_Test_Selftest,3,-1,-1,-1,-1
Hiv_Treatment,3,-1,-1,-1,-1
Hiv_PalliativeCare,3,-1,-1,-1,-1
DeliveryCare_Basic,3,-1,-1,-1,-1
DeliveryCare_Comprehensive,3,-1,-1,-1,-1
PostnatalCare_Maternal,3,-1,-1,-1,-1
PostnatalCare_Maternal_Inpatient,3,-1,-1,-1,-1
PostnatalCare_Comprehensive,3,-1,-1,-1,-1
Malaria_Prevention_Iptp,3,-1,-1,-1,-1
Malaria_Test,3,-1,-1,-1,-1
Malaria_Treatment,3,-1,-1,-1,-1
Malaria_Treatment_Complicated,3,-1,-1,-1,-1
Measles_Treatment,3,-1,-1,-1,-1
PostnatalCare_Neonatal,3,-1,-1,-1,-1
PostnatalCare_Neonatal_Inpatient,3,-1,-1,-1,-1
OesophagealCancer_Investigation,3,-1,-1,-1,-1
OesophagealCancer_PalliativeCare,3,-1,-1,-1,-1
OesophagealCancer_Treatment,3,-1,-1,-1,-1
OtherAdultCancer_Investigation,3,-1,-1,-1,-1
OtherAdultCancer_PalliativeCare,3,-1,-1,-1,-1
OtherAdultCancer_Treatment,3,-1,-1,-1,-1
PostnatalCare_TreatmentForObstetricFistula,3,-1,-1,-1,-1
ProstateCancer_Investigation,3,-1,-1,-1,-1
ProstateCancer_PalliativeCare,3,-1,-1,-1,-1
ProstateCancer_Treatment,3,-1,-1,-1,-1
Rti_AcutePainManagement,3,-1,-1,-1,-1
Rti_BurnManagement,3,-1,-1,-1,-1
Rti_FractureCast,3,-1,-1,-1,-1
Rti_Imaging,3,-1,-1,-1,-1
Rti_MajorSurgeries,3,-1,-1,-1,-1
Rti_MedicalIntervention,3,-1,-1,-1,-1
Rti_MinorSurgeries,3,-1,-1,-1,-1
Rti_OpenFractureTreatment,3,-1,-1,-1,-1
Rti_ShockTreatment,3,-1,-1,-1,-1
Rti_Suture,3,-1,-1,-1,-1
Rti_TetanusVaccine,3,-1,-1,-1,-1
Schisto_Test,3,-1,-1,-1,-1
Schisto_MDA,3,-1,-1,-1,-1
Schisto_Treatment,3,-1,-1,-1,-1
Undernutrition_Feeding,3,-1,-1,-1,-1
Tb_Prevention_Ipt,3,-1,-1,-1,-1
Tb_Test_Clinical,3,-1,-1,-1,-1
Tb_Test_Culture,3,-1,-1,-1,-1
Tb_Test_FollowUp,3,-1,-1,-1,-1
