Year,NMCP OPD Suspected Malaria Cases Tested For Malaria Through RDT <5Yrs,NMCP OPD Suspected Malaria Cases Tested For Malaria Through RDT >5Yrs,NMCP OPD Suspected Malaria Cases Tested for Malaria Using Microscopy <5Yrs,NMCP OPD Suspected Malaria Cases Tested for Malaria Using Microscopy >5Yrs,NMCP_RDTs_Qty_Dispersed,NMCP RDTs Qty Issued,NMCP RDTs Qty Received,Population,Rate_rdt_testing
2010,8361.0,15465.0,1181,2713,17267.0,,,14718422,0.0011731556548657187
2011,115713.0,100078.0,48189,130186,,181749.0,259286.0,15146094,0.0011731556548657187
2012,735601.5,809655.0,105410,95914,,814743.0,1010396.0,15581251,0.0011731556548657187
2013,1259164.0,1857681.0,88851,58303,,2499087.3,3222527.0,16024775,0.0011731556548657187
2014,2302196.0,3102067.0,117589,81049,,5198584.7,11375564.0,16477966,0.0011731556548657187
2015,3061789.0,3987079.0,94364,121804,,7142568.0,38524306.0,16938942,0.0011731556548657187
2016,13010900.0,5403216.5,83735,160881,,9839970.5,10504755.0,17405624,0.0011731556548657187
2017,3806026.0,6411511.0,42852,90758,10375.0,11542821.0,13080328.0,17881167,0.0005802194006688713
2018,4283685.0,7629821.0,46975,94082,97880.0,15781015.0,12958799.0,18367883,0.00532886669628721
2019,3539081.0,6481546.0,61768,96327,9328309.0,535346.0,1112304.0,18867337,0.4944157726127434
2020,3728461.0,7235206.0,90666,184264,11092056.0,13325.0,16175.0,19377061,0.5724323208767315
2021,3733739.0,7956906.0,26703,59684,11710449.0,14724.0,5550.0,19889742,0.5887682705989852
2022,3221035.0,6477463.0,24404,45015,9653128.0,1741.0,,20405317,0.47306924954902685
2023,1167783.0,2869755.0,7359,17965,3961319.0,775.0,,20931751,0.47306924954902685
