Year,NumSuspectedCasesTestedByRDT,NumPositiveCasesTestedByRDT,NumSuspectedCasesTestedByMicroscopy,NumPositiveCasesTestedByMicroscopy,NumTreated,NumMalariaCases,TreatmentCoverage,Population,Rate_rdt_testing,param_label
2010,,,,,,5516206,,14718422,0,local
2011,580708,253973,166959,50526,,5460330,,15146094,0.038340446,local
2012,2763986,1281846,103754,283138,,4929530,,15581251,0.17739179,local
2013,3029020,1236391,129575,44501,,4547495,,16024775,0.189021063,local
2014,5344724,2827675,127752,77635,,4265161,,16477966,0.324355809,local
2015,7030084,3585315,240212,75923,,4032938,,16938942,0.415024976,local
2016,8661237,4730835,216643,96538,,3868572,,17405624,0.497611404,local
2017,9413944,4901344,198534,46099,,3851092,,17881167,0.526472573,local
2018,11384109,5830741,132475,34735,7043006,3782274,1.862108879,18367883,0.619783401,local
2019,10861320,5153779,406907,30328,5089716,3835146,1.327124443,18867337,0.575667886,local
2020,12439185,7057864,119996,81201,7095977,4370301,1.623681527,19377061,0.641954164,local
2021,,,,,,,,19889742,0.641954164,local
2022,,,,,,,,20405317,0.641954164,local
2023,,,,,,,,20931751,0.641954164,local
2024,,,,,,,,,,local
