parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
sensitivity_rdt,0.95,universal,0,1,vague prior,
cfr_severe_malaria,0.15,universal,0,1,vague prior,
dur_asym,110,universal,1,365,vague prior,
dur_clin,5,universal,1,30,vague prior,
dur_clin_para,195,universal,1,365,vague prior,
treatment_adjustment,0.5,universal,0,1,vague prior,
p_sev_anaemia_preg,0.075,universal,0,1,vague prior,
mortality_adjust,10,local,0.01,100,vague prior,
data_end,2018,scenario,2010,2030,vague prior,
irs_rates_boundary,0.5,local,0,1,vague prior,
irs_rates_upper,0.8,local,0,1,vague prior,
irs_rates_lower,0,local,0,1,vague prior,
prob_malaria_case_tests,0.4,local,0.01,1,vague prior,
itn,0.6,local,0,1,vague prior,
scaling_factor_for_rdt_availability,1.2,local,0.01,10,vague prior,
duration_iptp_protection_weeks,6,universal,1,52,vague prior,
rr_clinical_malaria_hiv_under5,1.7,universal,0.01,100,vague prior,
rr_clinical_malaria_hiv_over5,2.6,universal,0.01,100,vague prior,
rr_clinical_malaria_hiv_pregnant,3.96,universal,0.01,100,vague prior,
rr_clinical_malaria_cotrimoxazole,0.58,universal,0.01,100,vague prior,
rr_clinical_malaria_art,0.74,universal,0.01,100,vague prior,
rr_clinical_malaria_iptp,0.54,universal,0.01,100,vague prior,
rr_severe_malaria_hiv_under5,9.69,universal,0.01,100,vague prior,
rr_severe_malaria_hiv_over5,2.68,universal,0.01,100,vague prior,
rr_severe_malaria_hiv_pregnant,2.8,universal,0.01,100,vague prior,
rr_severe_malaria_iptp,0.6,universal,0.01,100,vague prior,
prob_of_treatment_success,1,universal,0,1,vague prior,
type_of_scaleup,none,scenario,none,max,vague prior,
scaleup_start_year,2025,scenario,2020,2050,vague prior,
temp_max_itn_coverage,0.7,local,0.5,1,vague prior,
max_age_incidence_data,80,universal,70,100,vague prior,
max_year_rdt_data,2024,scenario,2020,2030,vague prior,
symptom_onset_delay_days,7,universal,1,14,vague prior,
death_delay_min_days,1,universal,1,7,vague prior,
death_delay_max_days,7,universal,1,14,vague prior,
rdt_followup_days,7,local,1,14,vague prior,
clinical_treatment_duration_days,5,universal,3,10,vague prior,
severe_clinical_treatment_duration_days,7,universal,5,14,vague prior,
self_cure_duration_days,6,universal,3,14,vague prior,
rdt_scheduling_retry_days,1,local,1,7,vague prior,
rdt_scheduling_max_delay_days,4,local,1,14,vague prior,
MalariaParasiteClearanceEvent_frequency_days,30.5,undetermined,1,60,design decision,
MalariaUpdateEvent_frequency_days,1,undetermined,1,5,design decision,
MalariaPollingEventDistrict_frequency_months,1,undetermined,0,30,design decision,
MalariaPollingEventDistrict_delay_days,0,undetermined,0,30,design decision,
MalariaUpdateEvent_delay_days,0,undetermined,0,30,design decision,
MalariaParasiteClearanceEvent_delay_months,1,undetermined,1,12,design decision,
MalariaIPTp_frequency_months,1,undetermined,1,60,design decision,
MalariaIPTp_delay_days,30.5,undetermined,1,60,design decision,
