parameter values (.csv)
=======================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_Cervical_Cancer/parameter_values.csv>`

====  ========================================================  =======================================================================  ==============  ==================================================  ==================================================  ===============  =====================================================================
  ..  parameter\_name                                           value                                                                    param\_label    prior\_min                                          prior\_max                                          prior\_note      reference
====  ========================================================  =======================================================================  ==============  ==================================================  ==================================================  ===============  =====================================================================
   0  init\_prev\_cin\_hpv\_cc\_stage\_hiv                      [0.90, 0.06, 0.005, 0.005, 0.005, 0.005  ,0.005  ,0.005, 0.005 , 0.005]  local           [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]  [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]  vague prior      N/A
   1  init\_prev\_cin\_hpv\_cc\_stage\_nhiv                     [0.97,0.026,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005, 0.0005, 0.0005]   local           [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]  [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]  vague prior      N/A
   2  r\_hpv                                                    0.0002                                                                   undetermined    0                                                   1                                                   calibration      N/A
   3  r\_cin1\_hpv                                              0.001                                                                    undetermined    0                                                   1                                                   calibration      N/A
   4  prob\_revert\_from\_cin1                                  0.01                                                                     undetermined    0                                                   1                                                   calibration      N/A
   5  r\_cin2\_cin1                                             0.05                                                                     undetermined    0                                                   1                                                   calibration      N/A
   6  r\_cin3\_cin2                                             0.05                                                                     undetermined    0                                                   1                                                   calibration      N/A
   7  r\_stage1\_cin3                                           0.05                                                                     undetermined    0                                                   1                                                   calibration      N/A
   8  r\_stage2a\_stage1                                        0.05                                                                     undetermined    0                                                   1                                                   calibration      N/A
   9  r\_stage2b\_stage2a                                       0.05                                                                     undetermined    0                                                   1                                                   calibration      N/A
