parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
base_inc_rate_diarrhoea_by_rotavirus,"[0.175245863,0.097007598,0.009324]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_shigella,"[0.117936461999999,0.078794104,0.093018]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_adenovirus,"[0.0586618,0.058661803,0.006438]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_cryptosporidium,"[0.030886699,0.0117923629999999,0.004662]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_campylobacter,"[0.098663257,0.027915478,0.004884]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_ETEC,"[0.27925146,0.170477152,0.019758]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_sapovirus,"[0.100972179,0.132603114,0.00555]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_norovirus,"[0.204864004,0.066146727,0.000888]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_astrovirus,"[0.054208352,0.035974076,0.001332]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
base_inc_rate_diarrhoea_by_tEPEC,"[0.0608224569999999,0.022716889,0.001998]",local,"[0,0,0]","[1,1,1]",vague prior,"Platts-Mills et al 2018, Liu et al, 2016, Nasin, et al. 2019"
rr_diarrhoea_HHhandwashing,0.7,universal,0.64,0.77,CI,Wolf et al. 2018
rr_diarrhoea_improved_sanitation,0.75,universal,0.63,0.88,CI,Wolf et al. 2018
