District,Clinical ,Nursing_and_Midwifery,Pharmacy,DCSA,Dental,Laboratory,Mental,Nutrition,Radiography
Balaka,1.174526999,1.169316612,2.052879982,1,1,1,1,1,1
Blantyre,0.759811383,0.89730864,1.578474944,1,1,1,1,1,1
Blantyre City,0.759811383,0.89730864,1.578474944,1,1,1,1,1,1
Central Hospitals (Central),2.486954763,1.355424224,1.412864458,1,1,1,1,1,1
Central Hospitals (Northern),2.197010075,1.070124208,0.897056799,1,1,1,1,1,1
Central Hospitals (Southern),2.177651732,1.402012229,0.710875199,1,1,1,1,1,1
Chikwawa,1.571206225,1.98442501,1.947217042,1,1,1,1,1,1
Chiradzulu,1.508760236,1.900692263,2.173637628,1,1,1,1,1,1
Chitipa,1.145249933,1.936513522,1.690607044,1,1,1,1,1,1
Dedza,1.23965271,1.543188619,2.264205862,1,1,1,1,1,1
Dowa,1.435421075,1.737431437,1.792297693,1,1,1,1,1,1
Headquarter,1.183424931,3.62272938,1.449091752,1,1,1,1,1,1
Karonga,1.335881459,1.872527654,3.043092679,1,1,1,1,1,1
Kasungu,1.482635542,1.937984358,2.557220739,1,1,1,1,1,1
Likoma,2.233502608,3.155265589,3.042577533,1,1,1,1,1,1
Lilongwe,1.380087383,1.167518839,1.709475426,1,1,1,1,1,1
Lilongwe City,1.380087383,1.167518839,1.709475426,1,1,1,1,1,1
Machinga,1.584340315,1.853985036,1.96662452,1,1,1,1,1,1
Mangochi,1.212312054,1.260791694,2.940803849,1,1,1,1,1,1
Mchinji,1.319220321,1.722723439,1.716029706,1,1,1,1,1,1
Mulanje,1.442124965,1.488502197,3.550274792,1,1,1,1,1,1
Mwanza,2.032262823,1.646695173,1.368586655,1,1,1,1,1,1
Mzimba,1.664191309,1.462212301,2.258878319,1,1,1,1,1,1
Mzuzu City,1.664191309,1.462212302,2.258878319,1,1,1,1,1,1
Neno,1.90022409,2.133827415,2.264205862,1,1,1,1,1,1
Nkhata Bay,1.64711602,2.260579269,2.781346584,1,1,1,1,1,1
Nkhotakota,1.798270487,1.964020582,2.225390905,1,1,1,1,1,1
Nsanje,1.560560348,2.028728453,2.475531743,1,1,1,1,1,1
Ntcheu,1.436599582,1.544519745,2.753274328,1,1,1,1,1,1
Ntchisi,1.511195684,1.885047321,2.041902014,1,1,1,1,1,1
Phalombe,1.81136469,1.561895301,1.783497541,1,1,1,1,1,1
Rumphi,1.680946432,1.643251104,1.494375869,1,1,1,1,1,1
Salima,1.156345943,1.449091752,2.371241048,1,1,1,1,1,1
Thyolo,1.283305831,1.360371849,2.083069393,1,1,1,1,1,1
Zomba,1.12943916,1.10442287,1.332229514,1,1,1,1,1,1
Zomba City,1.12943916,1.10442287,1.332229514,1,1,1,1,1,1
Zomba Mental Hospital,1.521546339,0.85520169,2.173637628,1,1,1,1,1,1
