Facility_ID,Facility_Name,Facility_Level,District,Region,Officer_Category,Total_Mins_Per_Day,Staff_Count
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Clinical,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,DCSA,13957.006256830322,250.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Dental,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Laboratory,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Mental,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Nursing_and_Midwifery,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Nutrition,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Pharmacy,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Radiography,0.0,0.0
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Clinical,9786.977112682858,47.02872739727982
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,DCSA,0.0,0.0
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Dental,2327.321544301442,11.393343419062028
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Laboratory,5012.0240236950995,24.912294540522687
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Mental,0.0,0.0
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Nursing_and_Midwifery,31874.933125682845,150.4802720399622
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Nutrition,110.79066481157902,0.5423728813559322
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Pharmacy,4132.096249931831,20.636105188343993
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Radiography,0.0,0.0
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Clinical,6469.996130920753,31.878124718472385
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,DCSA,0.0,0.0
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Dental,719.736008057105,3.523449319213313
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Laboratory,1340.353750319166,5.956972094755557
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Mental,0.0,0.0
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Nursing_and_Midwifery,13637.565362452207,66.2458870952188
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Nutrition,0.0,0.0
