parameter_name,value,param_label,prior_min,prior_max,prior_note,reference
prob_ectopic_pregnancy,"[0.01, 0.01]",undetermined,"[0, 0]","[1,1]",calibration,"Institute of Health Metrics and Evaluation (2019) GBD Results Tool | GHDx, 2019. Available at: http://ghdx.healthdata.org/gbd-results-tool (Accessed: 6 July 2021)."
prob_care_seeking_ectopic_pre_rupture,"[0.08, 0.08]",undetermined,"[0, 0]","[1,1]",calibration,"Flores, A. H. et al. (2015) ‘Frequency of utilisation of ultrasound in the diagnosis of ectopic pregnancy in Sub-Saharan Africa countries: A systematic review’, in African Journal of Emergency Medicine. African Federation for Emergency Medicine, pp. 31–36. doi: 10.1016/j.afjem.2014.08.001."
prob_ectopic_pregnancy_death,"[0.02, 0.012]",undetermined,"[0, 0]","[1,1]",calibration,"Ministry of Health Malawi et al. (2010) Malawi 2010 EmONC Needs Assessment Final Report.

Ministry of Health Malawi et al. (2015) Malawi Emergency Obstetric and Newborn Care Needs Assessment, 2014."
,,,,,,
prob_multiples,"[0.0399, 0.0399]",undetermined,"[0, 0]","[1,1]",calibration,"Monden, C. W. S. and Smits, J. (2017) ‘Mortality among twins and singletons in sub-Saharan Africa between 1995 and 2014: a pooled analysis of data from 90 Demographic and Health Surveys in 30 countries’, The Lancet Global Health. Elsevier Ltd, 5(7), pp. e673–e679. doi: 10.1016/S2214-109X(17)30197-3."
,,,,,,
prob_placenta_praevia,"[0.005,0.0058]",undetermined,"[0, 0]","[1,1]",calibration,"Senkoro, E. E. et al. (2017) ‘Frequency, Risk Factors, and Adverse Fetomaternal Outcomes of Placenta Previa in Northern Tanzania’, Journal of Pregnancy. Hindawi Limited, 2017. doi: 10.1155/2017/5936309."
rr_placenta_praevia_previous_cs,"[1.47,1.47]",local,"[0.01, 0.01]","[100,100]",vague prior,"Yang, Q. et al. (2007) ‘Association of caesarean delivery for first birth with placenta praevia and placental abruption in second pregnancy’, BJOG: An International Journal of Obstetrics and Gynaecology. BJOG, 114(5), pp. 609–613. doi: 10.1111/j.1471-0528.2007.01295.x."
,,,,,,
prob_syphilis_during_pregnancy,"[0.028, 0.028]",undetermined,"[0, 0]","[1,1]",calibration,Malawi Integrated HIV Program Reports
,,,,,,
prob_previous_miscarriage_at_baseline,0.047,undetermined,0,1,calibration,"National Statistical Office (NSO) [Malawi], ICF. Malawi Demographic and Health Survey 2015-16. Zomba, Malawi, and Rockville, Maryland, USA: NSO and ICF, 2017"
prob_spontaneous_abortion_per_month,"[[0.025, 0.037, 0.05, 0.037, 0.025], [0.025, 0.037, 0.05, 0.037, 0.025]]",undetermined,"[0, 0]","[1,1]",calibration,"Levandowski, B. A. et al. (2013) The Incidence of Induced Abortion in Malawi, Perspectives on Sexual and Reproductive Health. Available at: https://www.jstor.org/stable/41959960 (Accessed: 5 July 2021).

Polis, C. B. et al. (2017) ‘Incidence of induced abortion in Malawi, 2015’, PLoS ONE. Public Library of Science, 12(4). doi: 10.1371/journal.pone.0173639."
rr_spont_abortion_age_35,"[4, 4]",local,"[0.01, 0.01]","[100,100]",vague prior,"Dellicour, S. et al. (2016) ‘Weekly miscarriage rates in a community-based prospective cohort study in rural western Kenya’, BMJ Open, 6(4). doi: 10.1136/bmjopen-2016-011088."
rr_spont_abortion_age_31_34,"[2.31, 2.31]",local,"[0.01, 0.01]","[100,100]",vague prior,"Dellicour, S. et al. (2016) ‘Weekly miscarriage rates in a community-based prospective cohort study in rural western Kenya’, BMJ Open, 6(4). doi: 10.1136/bmjopen-2016-011088."
rr_spont_abortion_prev_sa,"[2.23, 2.23]",local,"[0.01, 0.01]","[100,100]",vague prior,"Dellicour, S. et al. (2016) ‘Weekly miscarriage rates in a community-based prospective cohort study in rural western Kenya’, BMJ Open, 6(4). doi: 10.1136/bmjopen-2016-011088."
prob_complicated_sa,"[0.11, 0.11]",local,"[0, 0]","[1,1]",vague prior,"Levandowski, B. A. et al. (2013) The Incidence of Induced Abortion in Malawi, Perspectives on Sexual and Reproductive Health. Available at: https://www.jstor.org/stable/41959960 (Accessed: 5 July 2021).

Polis, C. B. et al. (2017) ‘Incidence of induced abortion in Malawi, 2015’, PLoS ONE. Public Library of Science, 12(4). doi: 10.1371/journal.pone.0173639."
prob_induced_abortion_per_month,"[0.038, 0.038]",undetermined,"[0, 0]","[1,1]",calibration,"Levandowski, B. A. et al. (2013) The Incidence of Induced Abortion in Malawi, Perspectives on Sexual and Reproductive Health. Available at: https://www.jstor.org/stable/41959960 (Accessed: 5 July 2021).

Polis, C. B. et al. (2017) ‘Incidence of induced abortion in Malawi, 2015’, PLoS ONE. Public Library of Science, 12(4). doi: 10.1371/journal.pone.0173639."
prob_complicated_ia,"[0.37 ,0.37]",local,"[0, 0]","[1,1]",vague prior,"Levandowski, B. A. et al. (2013) The Incidence of Induced Abortion in Malawi, Perspectives on Sexual and Reproductive Health. Available at: https://www.jstor.org/stable/41959960 (Accessed: 5 July 2021).

Polis, C. B. et al. (2017) ‘Incidence of induced abortion in Malawi, 2015’, PLoS ONE. Public Library of Science, 12(4). doi: 10.1371/journal.pone.0173639."
prob_haemorrhage_post_abortion,"[0.23, 0.23] ",local,"[0, 0]","[1,1]",vague prior,"The magnitude and severity of abortion-related morbidity in settings with limited access to abortion services: a systematic review and meta-regression’, BMJ Global Health. BMJ Publishing Group, 3(3), p. e000692. doi: 10.1136/bmjgh-2017-000692."
prob_sepsis_post_abortion,"[0.137, 0.137]",local,"[0, 0]","[1,1]",vague prior,"Kalilani-Phiri, L. et al. (2015) ‘The severity of abortion complications in Malawi’, International Journal of Gynecology & Obstetrics. Elsevier Ireland Ltd, 128(2), pp. 160–164. doi: 10.1016/j.ijgo.2014.08.022."
prob_injury_post_abortion,"[0.056, 0.056]",local,"[0, 0]","[1,1]",vague prior,"Kalilani-Phiri, L. et al. (2015) ‘The severity of abortion complications in Malawi’, International Journal of Gynecology & Obstetrics. Elsevier Ireland Ltd, 128(2), pp. 160–164. doi: 10.1016/j.ijgo.2014.08.022."
prob_spontaneous_abortion_death,"[0.01, 0.005]",undetermined,"[0, 0]","[1,1]",calibration,"Ministry of Health Malawi et al. (2010) Malawi 2010 EmONC Needs Assessment Final Report.

Ministry of Health Malawi et al. (2015) Malawi Emergency Obstetric and Newborn Care Needs Assessment, 2014."
prob_induced_abortion_death,"[0.005, 0.0025]",undetermined,"[0, 0]","[1,1]",calibration,"Ministry of Health Malawi et al. (2010) Malawi 2010 EmONC Needs Assessment Final Report.

Ministry of Health Malawi et al. (2015) Malawi Emergency Obstetric and Newborn Care Needs Assessment, 2014."
,,,,,,
baseline_prob_anaemia_per_month,"[0.1, 0.12]",undetermined,"[0, 0]","[1,1]",calibration,"National Statistical Office (NSO), ICF Macro. Malawi Demographic and Health Survey 2010. Zomba, Malawi, and Calverton, Maryland, USA: NSO and ICF Macro, 2011.

National Statistical Office (NSO) [Malawi], ICF. Malawi Demographic and Health Survey 2015-16. Zomba, Malawi, and Rockville, Maryland, USA: NSO and ICF, 2017
"
rr_anaemia_maternal_malaria,"[1.45, 1.45]",local,"[0.01, 0.01]","[100,100]",vague prior,
rr_anaemia_hiv_no_art,"[4.19, 4.19]",local,"[0.01, 0.01]","[100,100]",vague prior,
prob_mild_mod_sev_anaemia,"[[0.52,0.475, 0.005], [0.50, 0.46, 0.04]]",undetermined,"[0, 0]","[1,1]",calibration,"National Statistical Office (NSO), ICF Macro. Malawi Demographic and Health Survey 2010. Zomba, Malawi, and Calverton, Maryland, USA: NSO and ICF Macro, 2011.
National Statistical Office (NSO) [Malawi], ICF. Malawi Demographic and Health Survey 2015-16. Zomba, Malawi, and Rockville, Maryland, USA: NSO and ICF, 2017"
,,,,,,
prob_gest_diab_per_month,"[0.0056, 0.0056]",undetermined,"[0, 0]","[1,1]",calibration,"Phiri, T. J., Kasiya, M. and Allain, T. (2019) Full Prevalence Of Gestational Diabetes In Urban Women In Blantyre, Malawi: A Cross Sectional Study And Comparison Of Who And IADPSG Criteria. doi: 10.21203/rs.2.13491/v1."
rr_gest_diab_obesity,"[3.97, 3.97]",local,"[0.01, 0.01]","[100,100]",vague prior,"Santos, S. et al. (2019) ‘Impact of maternal body mass index and gestational weight gain on pregnancy complications: an individual participant data meta-analysis of European, North American and Australian cohorts’, BJOG: An International Journal of Obstetrics and Gynaecology. Blackwell Publishing Ltd, 126(8), pp. 984–995. doi: 10.1111/1471-0528.15661."
,,,,,,
prob_gest_htn_per_month,"[0.0073, 0.0073]",undetermined,"[0, 0]","[1,1]",calibration,
rr_gest_htn_obesity,"[3.31, 3.31]",local,"[0.01, 0.01]","[100,100]",vague prior,
prob_pre_eclampsia_per_month,"[0.0065,0.0065]",undetermined,"[0, 0]","[1,1]",calibration,
rr_pre_eclampsia_obesity,"[3.2, 3.2]",local,"[0.01, 0.01]","[100,100]",vague prior,
rr_pre_eclampsia_multiple_pregnancy,"[4.07, 4.07]",local,"[0.01, 0.01]","[100,100]",vague prior,
rr_pre_eclampsia_chronic_htn,"[2.26, 2.26]",local,"[0.01, 0.01]","[100,100]",vague prior,
rr_pre_eclampsia_diabetes_mellitus,"[3.7, 3.7]",local,"[0.01, 0.01]","[100,100]",vague prior,
probs_for_mgh_matrix,"[[0.918, 0.032, 0.05, 0, 0], [0.918, 0.032, 0.05, 0, 0]]",undetermined,"[0, 0]","[1,1]",calibration,
probs_for_sgh_matrix,"[[0, 0.87, 0, 0.13, 0], [0, 0.87, 0, 0.13, 0]]",undetermined,"[0, 0]","[1,1]",calibration,
probs_for_mpe_matrix,"[[0, 0, 0.78, 0.22, 0], [0, 0, 0.78, 0.22, 0]]",undetermined,"[0, 0]","[1,1]",calibration,
probs_for_spe_matrix,"[[0, 0, 0, 0.16, 0.84], [0, 0, 0, 0.16, 0.84]]",undetermined,"[0, 0]","[1,1]",calibration,
probs_for_ec_matrix,"[[0, 0, 0, 0, 1], [0, 0, 0, 0, 1]]",undetermined,"[0, 0]","[1,1]",calibration,
prob_severe_pre_eclampsia_death,"[0.018, 0.018]",undetermined,"[0, 0]","[1,1]",calibration,
prob_eclampsia_death,"[0.028, 0.03]",undetermined,"[0, 0]","[1,1]",calibration,
prob_monthly_death_severe_htn,"[0.0001, 0.0001]",undetermined,"[0, 0]","[1,1]",calibration,
,,,,,,
prob_placental_abruption_per_month,"[0.0005, 0.0005]",undetermined,"[0, 0]","[1,1]",calibration,
rr_placental_abruption_hypertension,"[2.2, 2.2]",local,"[0.01, 0.01]","[100,100]",vague prior,
rr_placental_abruption_previous_cs,"[1.3, 1.3]",local,"[0.01, 0.01]","[100,100]",vague prior,
,,,,,,
prob_aph_placenta_praevia,"[0.09, 0.09]",undetermined,"[0, 0]","[1,1]",calibration,
prob_aph_placental_abruption,"[0.9, 0.9] ",undetermined,"[0, 0]","[1,1]",calibration,
