parameter_name,value,upper,lower,Source: GBD
0-4,0.08416,0.11768,0.052590000000000005,http://ghdx.healthdata.org/gbd-results-tool
5-9,0.18002,0.24617,0.12319,
10-14,0.26588999999999996,0.34607,0.19286,
15-19,0.32856,0.41752,0.24647,
20-24,0.37860584937958297,0.466609936353121,0.291605769804881,
25-29,0.456484317295,0.556736129508559,0.36702605742213096,
30-34,0.561928877353224,0.6716941084707709,0.460568242152739,
35-39,0.713669804945032,0.837162863316696,0.5991682943772559,
40-44,0.935888339986741,1.0872070960851798,0.802042534075132,
45-49,1.34671912377698,1.52799046257178,1.1940237140171,
50-54,1.95392545683403,2.20505126844908,1.73201276448105,
55-59,2.76927324558871,3.07796395893893,2.4838025754453,
60-64,3.7557102809425102,4.1989889957313,3.34683769070089,
65-69,4.92970431006507,5.541524506391149,4.40572167012536,
70-74,6.16058014572605,7.06394935137594,5.41095564407873,
75-79,7.13662245116584,8.19210982809538,6.1678090010355096,
80-84,7.74921168044264,9.025382361792799,6.54628198573793,
85-89,7.6664640101393795,9.104248560395678,6.39011694119654,
90-94,7.24379461506011,8.97121405669044,5.62788799207164,
95-99,6.80549582015719,8.95879854665643,4.92058576465915,
100+,6.80549582015719,8.95879854665643,4.92058576465915,
