parameter_name,value,param_label,prior_min,prior_max,prior_note,resource,notes
base_inc_rate_ALRI_by_RSV,"[0.165623001012122,0.0368943809605977,0.011883807410198]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Rhinovirus,"[0.0243368081563306,0.0564272209432261,0.0181754025659935]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_HMPV,"[0.0316242920447732,0.01106932885584,0.00356546901880363]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Parainfluenza,"[0.0400689053941642,0.0125990679490263,0.00405820325903094]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Strep_pneumoniae_PCV13,"[0.00839805492638728,0.0086009815601405,0.00277040583791159]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Strep_pneumoniae_non_PCV13,"[0.00971808948465436,0.0056295094957977,0.00181328443302487]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Hib,"[0.00456369209787862,0.00223809928508262,0.000720899502209533]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_H.influenzae_non_type_b,"[0.0178046628079453,0.00771804577106646,0.00248600917371134]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Staph_aureus,"[0.0230583713892271,0.00164959730828988,0.000531340984878809]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Enterobacteriaceae,"[0.00577447898013911,0.00776959582619209,0.002502613624339]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_other_Strepto_Enterococci,"[0.00739221008020393,0.000441075977443103,0.000142072094251877]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_Influenza,"[0.0156895896609387,0.00577122651203705,0.00185893197294524]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_P.jirovecii,"[0.00532021183938121,0.00406616141018573,0.00130972462037058]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_other_viral_pathogens,"[0.0289052989892286,0.0340001707821008,0.0109515723253317]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_other_bacterial_pathogens,"[0.0340967151177136,0.0275272316777052,0.00886661630515269]",local,"[0,0,0]","[1,1,1]",vague prior,,
base_inc_rate_ALRI_by_other_pathogens_NoS,"[0.012096954443426,0.0244908799021158,0.00788859692140824]",local,"[0,0,0]","[1,1,1]",vague prior,,
proportion_pneumonia_in_RSV_ALRI,"[0.469523118748083,0.493147834326293]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Rhinovirus_ALRI,"[0.233411098940226,0.300943850285401]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_HMPV_ALRI,"[0.514096212711081,0.607661832402657]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Parainfluenza_ALRI,"[0.381306534835401,0.586394378700289]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Strep_pneumoniae_PCV13_ALRI,"[0.419837201436785,1]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Strep_pneumoniae_non_PCV13_ALRI,"[0.584526531211357,0.47010416567094]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Hib_ALRI,"[0.643816417750475,0.591228432603006]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_H.influenzae_non_type_b_ALRI,"[0.484067635967411,0.685783925920651]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Staph_aureus_ALRI,"[0.314311461687961,0.668460076932899]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Enterobacteriaceae_ALRI,"[0.542743088827561,0.397386416381317]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_other_Strepto_Enterococci_ALRI,"[0.794939501527616,1]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_Influenza_ALRI,"[0.274661773216931,0.477667070122735]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_P.jirovecii_ALRI,"[0.773174448993322,0.650848699225084]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_other_viral_pathogens_ALRI,"[0.264286065267648,0.301616616612727]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_other_bacterial_pathogens_ALRI,"[0.321708555070697,0.424616377668989]",local,"[0,0]","[1,1]",vague prior,,
proportion_pneumonia_in_other_pathogens_NoS_ALRI,"[0.323847892119005,0.256639724815326]",local,"[0,0]","[1,1]",vague prior,,
rr_ALRI_HIV/AIDS,6.51,universal,0.01,100,vague prior,Jackson et al. 2013,
rr_ALRI_incomplete_measles_immunisation,1.8,universal,0.01,100,vague prior,Jackson et al. 2013,
rr_ALRI_low_birth_weight,3.6,universal,0.01,100,vague prior,Jackson et al. 2013,
rr_ALRI_non_exclusive_breastfeeding,2.7,universal,0.01,100,vague prior,Jackson et al. 2013,
rr_ALRI_indoor_air_pollution,1.57,universal,0.01,100,vague prior,Jackson et al. 2013,
rr_Strep_pneum_VT_ALRI_with_PCV13_age<2y,0.18,universal,0.01,1,vague prior,Mackenzie et al. 2016 Lancet,
rr_Strep_pneum_VT_ALRI_with_PCV13_age2to5y,0.32,universal,0.01,1,vague prior,Mackenzie et al. 2016 Lancet,
rr_all_strains_Strep_pneum_ALRI_with_PCV13,0.45,undetermined,0.01,1,calibration,Mackenzie et al. 2016 Lancet,for calibration
effectiveness_Hib_vaccine_on_Hib_strains,0.86,universal,0,1,vague prior,Obonyo and Lau 2006,
rr_Hib_ALRI_with_Hib_vaccine,0.14,universal,0.01,1,vague prior,,
prob_viral_pneumonia_bacterial_coinfection,0.3,universal,0,1,vague prior,,
proportion_bacterial_coinfection_pathogen,"[0.107,0.072,0.038,0.141,0.134,0.117,0.052,0.338]",local,"[0,0,0,0,0,0,0,0]","[1,1,1,1,1,1,1,1]",vague prior,,
overall_progression_to_severe_ALRI,0.12,undetermined,0,1,calibration,Walker et al. 2013,for calibration
prob_pulmonary_complications_in_pneumonia,0.215,universal,0,1,vague prior,Resti et al. 2010,
prob_pleural_effusion_in_pulmonary_complicated_pneumonia,0.938,universal,0,1,vague prior,Resti et al. 2010,
prob_empyema_in_pulmonary_complicated_pneumonia,0.315,universal,0,1,vague prior,Resti et al. 2010,
prob_lung_abscess_in_pulmonary_complicated_pneumonia,0.049,universal,0,1,vague prior,"Resti et al. 2010, assumed from necrotising pneumonia",
prob_pneumothorax_in_pulmonary_complicated_pneumonia,0.049,universal,0,1,vague prior,"Resti et al. 2010, assumed from atelectasia",
prob_hypoxaemia_in_pneumonia,0.479,universal,0,1,vague prior,Fancourt et al 2017,
prob_hypoxaemia_in_other_alri,0.273,universal,0,1,vague prior,Fancourt et al 2017,
prob_bacteraemia_in_pneumonia,0.039,universal,0,1,vague prior,Sebavonge et al. 2016,
prob_progression_to_sepsis_with_bacteraemia,0.3,universal,0,1,vague prior,Fritz et al. 2019,
prob_cough_in_pneumonia,1,universal,0,1,vague prior,Rees et al 2020,0.77
prob_difficult_breathing_in_pneumonia,1,universal,0,1,vague prior,Rees et al 2020,0.7
prob_fever_in_pneumonia,0.82,universal,0,1,vague prior,Rees et al 2020,
