Year,Death_per100k_children,Death_per100k_lower,Death_per100k_upper,Incidence_per100_children,Incidence_per100_lower,Incidence_per100_upper,DALYs,DALYs_lower,DALYs_upper
2010,258.35,194.1,330.88,13.18731,10.76878,15.93407,567888.17,427703.4,727013.82
2011,257.73,193.89,332.68,12.68264,10.3766,15.28863,570660.95,429499.34,735641.6
2012,246.35,185.74,318.6,12.11023,9.89684,14.62139,549033.08,413888.11,708912.86
2013,232.42,172.61,306.36,11.51721,9.42606,13.89671,520890.3,387277.64,688318.87
2014,220.58,164.09,291.38,10.95107,8.84937,13.31381,475401.63,353235.51,629467.42
2015,210.56,156.42,278.84,10.45947,8.44016,12.80907,496502.96,369176.93,655152.96
2016,195.02,141.1,258.3,10.00938,8.06142,12.39414,441063.74,319309.61,583925.32
2017,176.39,127.85,236.58,9.68916,7.72748,12.18477,399055.36,289916.58,535253.57
2018,169.27,120.13,232.52,9.52978,7.56549,12.00051,383027.08,271830.35,526008.43
2019,158.72,111.41,220.28,9.44652,7.44754,11.9048,360718.95,253591.27,500057.08
