Facility_ID,Facility_Name,Facility_Level,District,Region,Officer_Category,Total_Mins_Per_Day,Staff_Count
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Clinical,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,DCSA,17362.51578349692,311.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Dental,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Laboratory,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Mental,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Nursing_and_Midwifery,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Nutrition,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Pharmacy,0.0,0.0
0.0,Facility_Level_0_Balaka,0,Balaka,Southern,Radiography,0.0,0.0
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Clinical,7764.5688471531475,35.968167022228805
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,DCSA,0.0,0.0
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Dental,122.56217294780932,0.6000000000000001
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Laboratory,911.072428479044,4.523782680841267
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Mental,0.0,0.0
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Nursing_and_Midwifery,16020.111696594222,76.76833333333333
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Nutrition,92.85013102106764,0.45454545454545453
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Pharmacy,1223.5821790012005,6.126370083816892
1.0,Facility_Level_1a_Balaka,1a,Balaka,Southern,Radiography,13.090383011774996,0.06451612903225806
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Clinical,5679.139607845691,27.980028174250144
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,DCSA,0.0,0.0
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Dental,282.8357837257137,1.3846153846153846
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Laboratory,1723.6308824004125,7.648239157992796
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Mental,0.0,0.0
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Nursing_and_Midwifery,15360.536976271604,77.7647206959707
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Nutrition,18.57002620421353,0.09090909090909091
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Pharmacy,753.821731619862,3.5564152159896842
2.0,Facility_Level_1b_Balaka,1b,Balaka,Southern,Radiography,298.088327347,1.436950146627566
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Clinical,5840.16460726472,31.05180480352105
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,DCSA,0.0,0.0
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Dental,411.6831963118723,2.0153846153846153
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Laboratory,1673.901036594643,7.827978161165937
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Mental,0.0,0.0
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Nursing_and_Midwifery,9662.842956962275,47.466945970695974
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Nutrition,92.85013102106764,0.45454545454545453
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Pharmacy,436.9263238838404,2.3172147001934236
3.0,Facility_Level_2_Balaka,2,Balaka,Southern,Radiography,306.50257005527806,1.498533724340176
4.0,Facility_Level_0_Blantyre,0,Blantyre,Southern,Clinical,0.0,0.0
4.0,Facility_Level_0_Blantyre,0,Blantyre,Southern,DCSA,16720.493495682727,299.5
4.0,Facility_Level_0_Blantyre,0,Blantyre,Southern,Dental,0.0,0.0
